,phfsi_4comp,phfsi_5comp
count,79.0,25.0
mean,0.4556587770591057,0.4054090887544119
std,0.10496460546142364,0.06568597491840647
min,0.2439044117820155,0.2960874689053196
25%,0.38596176031014334,0.35791672145346853
50%,0.47783221800429443,0.4078752432160006
75%,0.5363551772141302,0.4610376836888026
max,0.6933713292776504,0.5295261596876693
