Test,Subsidy_Coef,Subsidy_SE,Subsidy_PValue,R_Squared,N_Obs
Baseline,-0.5473787599458565,0.054058008888364734,1.555894080240705e-09,0.8052727694016852,69
Alt PHFSI: Prioritize SPI,-0.6138165870817265,0.11519519051140326,2.7711280601083743e-05,0.717902126120256,69
Alt PHFSI: Exclude SPI,-0.9837598386087718,0.02581007265157454,0.0,0.9967184534811963,69
Exclude COVID (2020-2021),-0.5585423808952247,0.07681014015814351,6.255959801748645e-06,0.7866527316218122,59
Exclude Small Hospitals,-0.374943480298168,,,0.9264501625960776,39
Exclude Lisbon/Porto,-0.5423800243202014,0.1036461251883101,0.00010116891265221639,0.8042526130280929,61
Heteroskedasticity-Robust SE,-0.5473787599458565,0.09474044869855659,9.805934354956136e-06,0.8052727694016852,69
Unadjusted SE,-0.5473787599458565,0.06469398479864802,3.315475893828079e-08,0.8052727694016852,69
