geocod;geodsg;dim_3;dim_3_t;valor;periodo;indicador_cod;indicador_dsg
PT;Portugal;T;HM;17.76;1993;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;1994;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;1994;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;1994;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;1995;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;1995;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;1995;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;1996;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;1996;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;1996;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;1997;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;2;M;19.3;1997;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;T;HM;17.76;1997;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
PT;Portugal;1;H;15.95;1998;0001228;"Esperança de vida aos 65 anos (Anos) por Sexo; Anual - INE, Indicadores demográficos"
