tempo;regiao;instituicao;localizacao_geografica;mortalidade_avc_hemorragico_30_dias;mortalidade_avc_isquemico_30_dias
2025-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Alentejo Central, EPE;38.568838, -7.903064;0.0;
2025-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, EPE;39.2999, -7.4267;40.0;16.22
2025-03;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, EPE;38.977344, -8.984882;20.0;10.71
2025-03;Região de Saúde Norte;Unidade Local de Saúde do Médio Ave, EPE;41.3422317504883, -8.0;12.5;13.56
2025-03;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.802452, -6.768198;40.0;17.78
2025-03;Região de Saúde LVT;Unidade Local de Saúde do Oeste, EPE;39.4055519104004, -9.0;16.67;12.5
2024-04;Região de Saúde do Centro;Unidade Local de Saúde da Região de Aveiro, EPE;40.636332, -8.654388;29.63;10.0
2024-04;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra, EPE;38.7436332060551, -9.0;24.24;16.47
2024-04;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental, EPE;38.7084, -9.21711;14.46;13.16
2024-04;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, EPE;37.024668, -7.928949;26.32;11.86
2024-04;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo, EPE;38.977344, -8.984882;23.81;17.65
2024-04;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.802452, -6.768198;28.57;20.48
2025-04;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309943471486, -7.0;14.29;14.29
2025-04;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, EPE;39.232503, -8.715083;0.0;0.0
2025-04;Região de Saúde do Centro;Unidade Local de Saúde de Coimbra, EPE;40.217426, -8.410075;;
2025-04;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental, EPE;38.7084, -9.21711;0.0;0.0
2025-04;Região de Saúde Norte;Unidade Local de Saúde de São João, EPE;41.1833, -8.60193;23.33;10.12
2025-04;Região de Saúde LVT;Unidade Local de Saúde do Oeste, EPE;39.4055519104004, -9.0;16.67;12.12
2024-05;Região de Saúde do Centro;Unidade Local de Saúde Castelo Branco, EPE;39.822737, -7.499876;22.22;13.04
2024-05;Região de Saúde LVT;Unidade Local de Saúde da Lezíria, EPE;39.232503, -8.715083;60.0;16.98
2024-05;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE;41.383183, -8.758784;10.0;22.22
2024-05;Região de Saúde Norte;Unidade Local de Saúde de Braga, EPE;41.562328338623, -8.3;14.71;10.27
2024-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Alto Alentejo, EPE;39.2999, -7.4267;56.25;17.24
2025-05;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309943471486, -7.0;11.11;12.5
2025-05;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE;41.383183, -8.758784;18.75;13.56
2025-05;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental, EPE;38.7084, -9.21711;0.0;0.0
2025-05;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.181859, -8.663374;0.0;33.33
2025-05;Região de Saúde Norte;Unidade Local de Saúde do Alto Ave, EPE;41.488574, -8.338685;41.18;6.15
2024-06;Região de Saúde do Centro;Instituto Português Oncologia  F. Gentil - Centro, E.P.E.;40.217, -8.40991;;
2024-06;Região de Saúde Norte;Instituto Português Oncologia  F. Gentil - Porto, E.P.E.;41.1811, -8.60469;33.33;25.0
