tempo;regiao;instituicao;localizacao_geografica;mortalidade_avc_hemorragico_30_dias;mortalidade_avc_isquemico_30_dias
2014-06;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;8.33;19.15
2014-06;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;52.38;18.02
2014-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;26.71;7.03
2014-06;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;25.35;23.13
2014-06;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;23.81;14.15
2014-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;21.67;15.18
2014-06;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;34.62;7.35
2014-06;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;22.54;9.76
2014-06;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;0.0;100.0
2014-06;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;17.95;5.63
2014-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;30.0;15.29
2014-07;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;7.69;17.92
2014-07;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;39.22;13.59
2014-07;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;100.0;25.0
2014-07;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;34.57;10.37
2014-07;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;31.03;6.21
2014-07;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;37.97;10.75
2014-07;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;16.56;7.19
2014-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;34.21;15.12
2014-08;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;36.11;9.86
2014-08;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;28.71;10.59
2014-08;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;15.61;9.47
2014-08;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;28.87;20.32
2014-08;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;21.88;9.48
2014-08;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;28.3;11.96
2014-08;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;21.09;11.45
2014-08;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;22.77;8.58
2014-08;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;26.32;7.92
2014-08;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;0.0;100.0
2014-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;29.17;16.04
2014-09;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;25.4;11.21
2014-09;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;30.56;15.96
2014-09;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;13.46;8.22
2014-09;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;28.71;19.63
2014-09;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;29.09;12.54
2014-09;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;39.39;12.04
2014-09;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;37.25;11.05
2014-09;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;19.23;5.43
2014-09;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;24.77;9.8
2014-09;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;19.64;8.19
2014-10;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;5.0;17.11
2014-10;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;26.47;19.53
2014-10;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;21.95;11.87
2014-10;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;100.0;20.0
2014-10;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;22.22;5.71
2014-10;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;19.4;7.37
2014-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;28.85;9.91
2014-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;23.33;12.77
2014-11;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;18.63;11.81
2014-11;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;27.94;10.37
2014-11;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;0.0;17.39
2014-11;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;22.92;8.59
2014-11;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;19.32;9.27
2014-11;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;28.36;11.4
2014-11;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;21.14;12.59
2014-12;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;21.51;12.35
2014-12;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;8.33;15.73
2014-12;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;28.26;15.79
2014-12;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;26.32;10.15
2014-12;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;24.11;18.46
2014-12;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;22.22;12.33
2014-12;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;34.65;11.46
2014-12;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;35.21;11.24
2014-12;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;22.45;9.48
2014-12;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;31.25;10.85
2015-01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;0.0;17.65
2015-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;25.0;22.58
2015-01;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;60.0;8.93
2015-01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;30.77;25.0
2015-01;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;15.0;6.06
2015-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;30.43;5.13
2015-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;25.0;0.0
2015-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;15.38;11.29
2015-01;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;100.0;0.0
2015-02;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;15.38;16.67
2015-02;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;29.51;13.08
2015-02;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;0.0;0.0
2015-02;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;25.0;11.11
2015-02;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;10.34;8.6
2015-02;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;17.65;9.71
2015-02;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;22.86;3.41
2015-02;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;28.57;13.07
2015-02;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;31.58;18.18
2015-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;21.05;14.71
2015-03;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;18.69;14.87
2015-03;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;30.0;10.57
2015-03;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;21.43;21.57
2015-03;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;23.53;14.0
2015-03;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;13.64;20.49
2015-03;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;17.65;13.43
2015-03;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;34.78;16.67
2015-03;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;6.67;10.84
2015-03;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;38.89;13.01
2015-03;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;21.82;13.07
2015-03;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;16.67;5.56
2015-03;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;23.08;12.55
2015-03;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;16.33;14.74
2015-03;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;25.0;5.36
2015-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;7.14;22.22
2015-04;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;28.33;9.94
2015-04;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;23.53;21.54
2015-04;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;27.27;10.77
2015-04;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;19.35;22.42
2015-04;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;22.22;11.3
2015-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;21.82;5.18
2015-04;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;29.55;13.5
2015-05;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;31.75;12.13
2015-05;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;11.54;8.64
2015-05;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;22.48;7.65
2015-05;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;13.64;7.41
2015-05;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;21.48;5.29
2015-05;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;21.05;10.81
2015-05;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;25.0;14.95
2015-05;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;22.22;12.99
2015-06;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;19.64;8.05
2015-06;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;29.21;10.3
2015-06;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;0.0;11.11
2015-06;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;47.83;15.62
2015-06;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;32.5;15.75
2015-06;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;0.0;
2015-06;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;41.94;13.39
2015-06;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;21.79;5.0
2015-06;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;20.83;11.19
2015-06;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;21.05;14.17
2015-06;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;31.51;13.93
2015-06;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;15.22;9.85
2015-06;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;21.57;12.71
2015-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;20.0;15.86
2015-07;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;28.72;10.41
2015-07;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;0.0;10.0
2015-07;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;44.83;14.69
2015-07;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;11.01;7.93
2015-07;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;0.0;
2015-07;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;13.21;9.58
2015-07;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;33.33;33.33
2015-07;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;21.67;11.06
2015-08;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;32.22;12.25
2015-08;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;28.57;9.98
2015-08;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;22.92;21.25
2015-08;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;0.0;
2015-08;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;25.32;7.73
2015-08;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;35.0;12.89
2015-08;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;21.05;5.21
2015-08;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;12.1;10.15
2015-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;43.59;14.13
2015-09;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;31.84;11.49
2015-09;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;18.41;10.53
2015-09;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;0.0;7.14
2015-09;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;34.88;14.33
2015-09;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;50.0;28.57
2015-09;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;21.43;14.81
2015-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;14.29;17.74
2015-10;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;23.44;16.52
2015-10;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;18.82;10.2
2015-10;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;20.41;13.53
2015-10;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;23.99;8.36
2015-10;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;13.16;8.65
2015-10;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;25.0;7.24
2015-10;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;18.28;12.43
2015-10;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;20.71;9.18
2015-10;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;21.79;9.16
2015-10;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;21.74;14.29
2015-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;36.73;14.22
2015-11;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;25.58;8.37
2015-11;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;0.0;6.67
2015-11;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;0.0;
2015-11;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;17.07;9.52
2015-11;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;34.0;13.37
2015-11;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;17.79;11.89
2015-11;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;22.5;10.92
2015-11;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;20.38;8.81
2015-11;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;21.31;10.68
2015-11;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;24.49;10.76
2015-12;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;31.03;12.14
2015-12;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;21.25;20.36
2015-12;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;25.76;13.59
2015-12;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;27.78;10.66
2016-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;40.0;13.04
2016-01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;50.0;22.58
2016-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;5.26;4.76
2016-01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;;8.0
2016-01;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;28.57;6.67
2016-01;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;;0.0
2016-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;38.46;5.56
2016-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;20.0;7.14
2016-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;30.0;11.9
2016-02;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;66.67;15.0
2016-02;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;31.82;9.28
2016-02;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;0.0;21.25
2016-02;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;18.52;12.0
2016-02;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;14.29;15.22
2016-02;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;33.33;20.0
2016-02;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;42.86;20.0
2016-02;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;57.14;22.86
2016-02;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;23.53;7.5
2016-02;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;100.0;100.0
2016-02;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;0.0;15.79
2016-02;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;36.0;9.94
2016-02;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;77.78;11.76
2016-02;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;0.0;0.0
2016-02;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;29.17;6.45
2016-03;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;33.33;13.27
2016-03;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;25.0;10.26
2016-03;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;7.69;16.13
2016-03;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;23.53;9.72
2016-03;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;31.58;10.96
2016-03;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;28.12;8.76
2016-04;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;35.29;13.55
2016-04;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;17.65;17.02
2016-04;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;51.85;16.11
2016-04;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;37.5;8.77
2016-04;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;25.49;12.68
2016-04;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;100.0;100.0
2016-04;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;39.13;15.43
2016-04;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;60.87;12.72
2016-04;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;52.63;10.19
2016-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;25.0;8.15
2016-05;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;20.83;6.88
2016-05;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;0.0;0.0
2016-06;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;38.66;12.1
2016-06;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;21.21;9.39
2016-06;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;29.41;17.84
2016-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;25.0;8.74
2016-06;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;24.39;10.31
2016-06;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;33.98;10.22
2016-06;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884, -8.5458794;32.14;12.24
2016-06;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;26.56;7.66
2016-07;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;35.0;12.6
2016-07;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;21.62;9.38
2016-07;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;100.0;30.77
2016-07;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006, -9.418267;35.0;11.7
2016-07;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;23.81;9.92
2016-07;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;36.59;10.36
2016-07;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;0.0;0.0
2016-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;26.92;12.33
