geocod;geodsg;sinal_conv;sinal_conv_desc;valor;periodo;indicador_cod;indicador_dsg
11C1804;Cinfães;&;Dado provisório;2.5;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16B1005;Bombarral;&;Dado provisório;2.5;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16B1011;Nazaré;&;Dado provisório;2.5;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16D0110;Ílhavo;&;Dado provisório;2.5;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16I1413;Mação;&;Dado provisório;2.5;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1870702;Arraiolos;&;Dado provisório;2.5;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1870708;Mourão;&;Dado provisório;2.5;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1870712;Vendas Novas;&;Dado provisório;2.5;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
2004201;Lagoa;&;Dado provisório;2.5;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16B1014;Peniche;&;Dado provisório;2.6;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16F1007;Castanheira de Pêra;&;Dado provisório;2.6;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1811505;Grândola;&;Dado provisório;2.6;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1840203;Alvito;&;Dado provisório;2.6;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1500814;Tavira;&;Dado provisório;2.7;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16F1010;Marinha Grande;&;Dado provisório;2.7;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1701511;Sesimbra;&;Dado provisório;2.7;2011;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
