freq;freq_label;unit;unit_label;wstatus;wstatus_label;nace_r2;nace_r2_label;geo;geo_label;time;time_label;value
A;Annual;THS;Thousand;EMP;Employed persons;C;Manufacturing;PT1;Continente;1995;1995;22.31
A;Annual;THS;Thousand;SAL;Employees;C;Manufacturing;PT1;Continente;1995;1995;22.35
A;Annual;THS;Thousand;SELF;Self-employed persons;C;Manufacturing;PT1;Continente;1995;1995;21.97
A;Annual;THS;Thousand;EMP;Employed persons;F;Construction;PT1;Continente;1995;1995;22.22
A;Annual;THS;Thousand;SAL;Employees;F;Construction;PT1;Continente;1995;1995;23.15
A;Annual;THS;Thousand;SELF;Self-employed persons;F;Construction;PT1;Continente;1995;1995;22.45
A;Annual;THS;Thousand;EMP;Employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT1;Continente;1995;1995;21.99
A;Annual;THS;Thousand;SAL;Employees;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT1;Continente;1995;1995;23.13
A;Annual;THS;Thousand;SELF;Self-employed persons;G-J;"Wholesale and retail trade; transport; accommodation and food service activities; information and communication";PT1;Continente;1995;1995;23.46
A;Annual;THS;Thousand;EMP;Employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT1;Continente;1995;1995;23.42
A;Annual;THS;Thousand;SAL;Employees;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT1;Continente;1995;1995;23.12
A;Annual;THS;Thousand;SELF;Self-employed persons;G-I;Wholesale and retail trade, transport, accommodation and food service activities;PT1;Continente;1995;1995;23.37
A;Annual;THS;Thousand;EMP;Employed persons;J;Information and communication;PT1;Continente;1995;1995;23.51
A;Annual;THS;Thousand;SAL;Employees;J;Information and communication;PT1;Continente;1995;1995;23.28
A;Annual;THS;Thousand;SELF;Self-employed persons;J;Information and communication;PT1;Continente;1995;1995;23.41
A;Annual;THS;Thousand;EMP;Employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT1;Continente;1995;1995;23.56
A;Annual;THS;Thousand;SAL;Employees;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT1;Continente;1995;1995;23.63
A;Annual;THS;Thousand;SELF;Self-employed persons;K-N;"Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities";PT1;Continente;1995;1995;23.37
A;Annual;THS;Thousand;EMP;Employed persons;K;Financial and insurance activities;PT1;Continente;1995;1995;22.81
A;Annual;THS;Thousand;SAL;Employees;K;Financial and insurance activities;PT1;Continente;1995;1995;22.51
A;Annual;THS;Thousand;SELF;Self-employed persons;K;Financial and insurance activities;PT1;Continente;1995;1995;21.55
A;Annual;THS;Thousand;EMP;Employed persons;L;Real estate activities;PT1;Continente;1995;1995;20.65
A;Annual;THS;Thousand;SAL;Employees;L;Real estate activities;PT1;Continente;1995;1995;20.34
