freq;freq_label;indic_de;indic_de_label;unit;unit_label;geo;geo_label;time;time_label;value
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT16;Centro (PT) (NUTS 2021);2015;2015;29.5
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT16;Centro (PT) (NUTS 2021);2015;2015;29.4
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT16;Centro (PT) (NUTS 2021);2015;2015;29.6
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT16;Centro (PT) (NUTS 2021);2015;2015;29.7
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT16;Centro (PT) (NUTS 2021);2015;2015;29.8
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT16;Centro (PT) (NUTS 2021);2015;2015;29.9
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT16B;Oeste (NUTS 2021);2015;2015;30.0
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT16B;Oeste (NUTS 2021);2015;2015;27.8
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT16B;Oeste (NUTS 2021);2015;2015;28.2
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT16B;Oeste (NUTS 2021);2015;2015;28.1
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT16B;Oeste (NUTS 2021);2015;2015;28.0
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT16D;Região de Aveiro (NUTS 2021);2015;2015;28.1
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT16D;Região de Aveiro (NUTS 2021);2015;2015;28.3
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT16D;Região de Aveiro (NUTS 2021);2015;2015;28.3
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT16D;Região de Aveiro (NUTS 2021);2015;2015;28.6
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT16D;Região de Aveiro (NUTS 2021);2015;2015;28.3
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT16D;Região de Aveiro (NUTS 2021);2015;2015;28.5
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT16E;Região de Coimbra (NUTS 2021);2015;2015;28.8
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT16E;Região de Coimbra (NUTS 2021);2015;2015;29.0
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT16E;Região de Coimbra (NUTS 2021);2015;2015;28.6
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT16E;Região de Coimbra (NUTS 2021);2015;2015;29.1
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT16E;Região de Coimbra (NUTS 2021);2015;2015;29.3
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT16F;Região de Leiria (NUTS 2021);2015;2015;29.4
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT16F;Região de Leiria (NUTS 2021);2015;2015;29.5
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT16F;Região de Leiria (NUTS 2021);2015;2015;29.8
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT16F;Região de Leiria (NUTS 2021);2015;2015;30.0
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT16F;Região de Leiria (NUTS 2021);2015;2015;29.8
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT16F;Região de Leiria (NUTS 2021);2015;2015;28.4
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT16G;Viseu Dão Lafões (NUTS 2021);2015;2015;28.5
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT16G;Viseu Dão Lafões (NUTS 2021);2015;2015;28.7
A;Annual;AGEMOTH;Mean age of women at childbirth;YR;Year;PT16G;Viseu Dão Lafões (NUTS 2021);2015;2015;29.1
A;Annual;MEDAGEMOTH;Median age of women at childbirth;YR;Year;PT16G;Viseu Dão Lafões (NUTS 2021);2015;2015;29.2
A;Annual;TOTFERRT;Total fertility rate;YR;Year;PT16G;Viseu Dão Lafões (NUTS 2021);2015;2015;29.4
A;Annual;AGEMOTH;Mean age of women at childbirth;NR;Number;PT16H;Beira Baixa (NUTS 2021);2015;2015;29.7
A;Annual;MEDAGEMOTH;Median age of women at childbirth;NR;Number;PT16H;Beira Baixa (NUTS 2021);2015;2015;29.4
A;Annual;TOTFERRT;Total fertility rate;NR;Number;PT16H;Beira Baixa (NUTS 2021);2015;2015;29.4
