freq;freq_label;currency;currency_label;estruct;estruct_label;ecase;ecase_label;geo;geo_label;time;time_label;value
A;Annual;NAC;National currency;TOTAL;Total;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;21929.15
A;Annual;EUR;Euro;GRS;Gross earning;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;27902.84
A;Annual;PPS;Purchasing Power Standard;GRS;Gross earning;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;29132.72
A;Annual;NAC;National currency;GRS;Gross earning;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;23807.29
A;Annual;EUR;Euro;TAX;Taxes;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;26359.01
A;Annual;PPS;Purchasing Power Standard;TAX;Taxes;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;28588.93
A;Annual;NAC;National currency;TAX;Taxes;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;31531.86
A;Annual;EUR;Euro;SOC;Social Security;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;33514.53
A;Annual;PPS;Purchasing Power Standard;SOC;Social Security;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;37001.73
A;Annual;NAC;National currency;SOC;Social Security;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;42123.28
A;Annual;EUR;Euro;FAM;Family allowances;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;41254.47
A;Annual;PPS;Purchasing Power Standard;FAM;Family allowances;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;42850.9
A;Annual;NAC;National currency;FAM;Family allowances;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;45020.47
A;Annual;EUR;Euro;NET;Net earning;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;45383.79
A;Annual;PPS;Purchasing Power Standard;NET;Net earning;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;45023.17
A;Annual;NAC;National currency;NET;Net earning;P1_NCH_AW80;Single person without children earning 80% of the average earning;PT;Portugal;2000;2000;45172.41
A;Annual;EUR;Euro;TOTAL;Total;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;45108.37
A;Annual;PPS;Purchasing Power Standard;TOTAL;Total;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;45169.27
A;Annual;NAC;National currency;TOTAL;Total;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;45267.96
A;Annual;EUR;Euro;GRS;Gross earning;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;45954.41
A;Annual;PPS;Purchasing Power Standard;GRS;Gross earning;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;45906.96
A;Annual;NAC;National currency;GRS;Gross earning;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;46134.5
A;Annual;EUR;Euro;TAX;Taxes;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;48083.13
A;Annual;PPS;Purchasing Power Standard;TAX;Taxes;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;48949.62
A;Annual;NAC;National currency;TAX;Taxes;P1_NCH_AW100;Single person without children earning 100% of the average earning;PT;Portugal;2000;2000;50513.58
