freq;freq_label;unit;unit_label;sector;sector_label;na_item;na_item_label;geo;geo_label;time;time_label;value
A;Annual;MIO_EUR;Million euro;S13;General government;B1GQ;Gross domestic product at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S13;General government;B1GQ;Gross domestic product at market prices;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S13;General government;B1GQ;Gross domestic product at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1311;Central government;B1GQ;Gross domestic product at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1311;Central government;B1GQ;Gross domestic product at market prices;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1311;Central government;B1GQ;Gross domestic product at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1312;State government;B1GQ;Gross domestic product at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1312;State government;B1GQ;Gross domestic product at market prices;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1312;State government;B1GQ;Gross domestic product at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1313;Local government;B1GQ;Gross domestic product at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1313;Local government;B1GQ;Gross domestic product at market prices;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1313;Local government;B1GQ;Gross domestic product at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1314;Social security funds;B1GQ;Gross domestic product at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1314;Social security funds;B1GQ;Gross domestic product at market prices;PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1314;Social security funds;B1GQ;Gross domestic product at market prices;PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1;Total economy;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1;Total economy;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1;Total economy;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S13;General government;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S13;General government;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S13;General government;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;
A;Annual;MIO_EUR;Million euro;S1311;Central government;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;
A;Annual;MIO_NAC;Million units of national currency;S1311;Central government;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1311;Central government;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;356948.5
A;Annual;MIO_EUR;Million euro;S1312;State government;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;390915.8
A;Annual;MIO_NAC;Million units of national currency;S1312;State government;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;386233.3
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1312;State government;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;404945.6
A;Annual;MIO_EUR;Million euro;S1313;Local government;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;1980475.6
A;Annual;MIO_NAC;Million units of national currency;S1313;Local government;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;1975544.8
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1313;Local government;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;1954797.6
A;Annual;MIO_EUR;Million euro;S1314;Social security funds;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;1997112.7
A;Annual;MIO_NAC;Million units of national currency;S1314;Social security funds;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;2062143.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1314;Social security funds;B9;Net lending (+)/net borrowing (-);PT;Portugal;1995;1995;2116990.0
A;Annual;MIO_EUR;Million euro;S1;Total economy;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;2179581.0
A;Annual;MIO_NAC;Million units of national currency;S1;Total economy;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;2199958.0
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);S1;Total economy;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;2217768.0
A;Annual;MIO_EUR;Million euro;S13;General government;D41PAY;Interest, expenditure;PT;Portugal;1995;1995;2306852.0
