freq;freq_label;unit;unit_label;na_item;na_item_label;geo;geo_label;time;time_label;value
A;Annual;PD10_EUR;Price index (implicit deflator), 2010=100, euro;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;PD05_EUR;Price index (implicit deflator), 2005=100, euro;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;PD20_NAC;Price index (implicit deflator), 2020=100, national currency;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;PD15_NAC;Price index (implicit deflator), 2015=100, national currency;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;PD10_NAC;Price index (implicit deflator), 2010=100, national currency;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;PD05_NAC;Price index (implicit deflator), 2005=100, national currency;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;PD_PCH_PRE_EUR;Price index (implicit deflator), percentage change on previous period, euro;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;PD_PCH_PRE_NAC;Price index (implicit deflator), percentage change on previous period, national currency;P32_S13;Collective consumption expenditure of general government;PT;Portugal;1975;1975;
A;Annual;CLV_I20;Chain linked volumes, index 2020=100;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CLV_I15;Chain linked volumes, index 2015=100;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CLV_I10;Chain linked volumes, index 2010=100;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CLV_I05;Chain linked volumes, index 2005=100;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;PC_GDP;Percentage of gross domestic product (GDP);P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;PC_EU27_2020_MEUR_CP;Percentage of EU27 (from 2020) total (based on million euro), current prices;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;PC_EU27_2020_MPPS_CP;Percentage of EU27 (from 2020) total (based on million purchasing power standards), current prices;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CP_MEUR;Current prices, million euro;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CP_MNAC;Current prices, million units of national currency;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CP_MPPS_EU27_2020;Current prices, million purchasing power standards (PPS, EU27 from 2020);P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CLV20_MEUR;Chain linked volumes (2020), million euro;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CLV15_MEUR;Chain linked volumes (2015), million euro;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CLV10_MEUR;Chain linked volumes (2010), million euro;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
A;Annual;CLV05_MEUR;Chain linked volumes (2005), million euro;P31_S14_S15;Household and NPISH final consumption expenditure;PT;Portugal;1975;1975;
