tempo;regiao;instituicao;localizacao_geografica;prazo_medio_de_pagamento
2020-06;Região de Saúde Norte;Centro Hospitalar Vila Nova Gaia/Espinho, EPE;41.1094138, -8.5972617;218
2020-06;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;22
2020-06;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;210
2020-06;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;58
2014-06;Região de Saúde LVT;Hospital Fernando Fonseca, EPE;38.7422257, -9.2264834;108
2014-12;Região de Saúde Norte;Administração Regional de Saúde do Norte;41.1576321, -8.6066408;0
2015-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;76
2015-09;Região de Saúde do Centro;Hospital José Luciano de Castro - Anadia;40.442326, -8.441689;0
2015-12;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;236
2016-03;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;120
2016-03;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;26
2016-06;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;82
2017-06;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;10
2017-06;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, EPE;38.708454, -9.216985;352
2017-09;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;173
2018-03;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;264
2018-06;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;182
2019-03;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;107
2019-12;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;157
2019-12;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;120
2020-06;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo;38.5658579, -7.9136262;27
2020-06;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;4
2020-12;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;145
2020-12;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;64
2021-06;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;191
2021-06;Região de Saúde Norte;Hospital da Senhora da Oliveira Guimarães, EPE;41.4387173, -8.3086907;213
2021-09;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;90
2021-12;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;211
2022-03;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;227
2022-09;Região de Saúde Norte;Hospital de Braga, EPE;39.4054629, -9.1258493;114
2022-12;Região de Saúde LVT;Hospital de Vila Franca de Xira, EPE;38.9777435, -8.9847644;35
2022-12;Serviços Centrais;Instituto Nacional de Emergência Médica;38.7314304, -9.142532;
2022-12;Serviços Centrais;Direção Executiva do Serviço Nacional de Saúde, I.P.;41.1831056, -8.6010558;
2023-03;Região de Saúde Norte;Centro Hospitalar Médio Ave, EPE;41.3423984, -8.4802503;205
2023-06;Serviços Centrais;Instituto Português Do Sangue e Da Transplantação, IP;38.7567758, -9.1505021;23
2023-09;Região de Saúde LVT;Hospital de Loures, EPE;38.8214678, -9.176741;54
2023-12;Região de Saúde LVT;Hospital Fernando Fonseca, EPE;38.7422257, -9.2264834;138
2023-12;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;43
2020-03;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;165
2020-03;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;180
2020-03;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;44
2020-03;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo;38.7490049, -9.1417844;28
2021-03;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;173
2021-03;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;222
2021-03;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;137
2021-06;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;7
2021-09;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;85
2021-12;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;107
2021-12;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;157
2022-06;Região de Saúde Norte;Administração Regional de Saúde do Norte;41.1576321, -8.6066408;46
2022-09;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;179
2022-09;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;176
2023-03;Região de Saúde Norte;Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE;41.3828711, -8.7589945;207
2023-03;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;163
2023-09;Serviços Centrais;Direção Executiva do Serviço Nacional de Saúde, I.P.;41.1831056, -8.6010558;
2023-09;Região de Saúde Norte;Centro Hospitalar Vila Nova Gaia/Espinho, EPE;41.1094138, -8.5972617;203
2023-09;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;262
2023-12;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;135
2023-12;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;
2023-12;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;183
2024-09;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental, E. P. E.;38.708454, -9.216985;140
2024-09;Região de Saúde Norte;Administração Regional de Saúde do Norte;41.1576321, -8.6066408;47
2014-03;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;353
2014-06;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;300
2014-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;463
2014-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;366
2014-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;89
2014-09;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;67
2014-12;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;504
2014-12;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;652
2015-03;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;100
2015-03;Região de Saúde LVT;Centro Hospitalar do Oeste, SPA;39.4054629, -9.1258493;69
2015-06;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;193
2015-06;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;587
2015-06;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;19
2015-06;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;0
2015-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;41
2015-06;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;34
2015-06;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;167
2015-06;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038123, -8.4216163;0
2015-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;33
2015-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;72
2015-09;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;284
2015-09;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;200
2015-09;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;18
2015-12;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;71
2015-12;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;523
2015-12;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;424
2016-03;Região de Saúde do Centro;Hospital José Luciano de Castro - Anadia;40.442326, -8.441689;0
2016-06;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;12
2016-09;Região de Saúde Norte;Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE;41.3828711, -8.7589945;177
2016-09;Serviços Centrais;Instituto Português do Sangue e da Transplantação, IP;38.7567758, -9.1505021;0
2016-09;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;131
2016-09;Região de Saúde LVT;Hospital Fernando Fonseca, EPE;38.7422257, -9.2264834;125
2016-09;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, EPE;38.708454, -9.216985;320
2016-09;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;232
2016-09;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272677, -7.9490091;0
2017-03;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;101
2017-03;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;164
2017-03;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;342
2017-03;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;471
2017-06;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;59
2017-09;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;48
2017-09;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;397
2017-12;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, EPE;38.708454, -9.216985;356
2017-12;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;32
2018-03;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo;38.5658579, -7.9136262;31
2018-03;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;222
2018-03;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;278
2018-06;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;437
2018-06;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;318
2018-06;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;35
2018-09;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;277
2018-09;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;39
2018-12;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;66
2019-03;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;289
2019-03;Região de Saúde Norte;Centro Hospitalar Médio Ave, EPE;41.3423984, -8.4802503;303
2019-03;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;136
2019-03;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;152
2019-06;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038123, -8.4216163;57
2019-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;89
2019-12;Região de Saúde LVT;Centro Hospitalar de Lisboa - Zona Ocidental, EPE;38.708454, -9.216985;274
2019-12;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;139
2019-12;Região de Saúde LVT;Instituto Português de Oncologia de Lisboa, EPE;38.7396768, -9.1634516;199
2020-03;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;218
2020-03;Região de Saúde Norte;Centro Hospitalar Médio Ave, EPE;41.3423984, -8.4802503;185
2020-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;144
2020-09;Região de Saúde do Centro;Instituto Português de Oncologia de Coimbra, EPE;40.2162514, -8.4103814;78
2020-09;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;18
2020-12;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;156
2020-12;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;125
2020-12;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;149
2020-12;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;38
2021-03;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;171
2021-06;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038123, -8.4216163;42
2021-06;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;133
2021-09;Região de Saúde LVT;Hospital de Vila Franca de Xira, EPE;38.9777435, -8.9847644;
2021-09;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;58
2022-03;Região de Saúde Norte;Centro Hospitalar Médio Ave, EPE;41.3423984, -8.4802503;176
2022-03;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo;38.5658579, -7.9136262;35
2022-03;Região de Saúde LVT;Hospital de Loures, EPE;38.8214678, -9.176741;
2022-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;186
2022-06;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;105
2022-06;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;185
2022-06;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;148
2022-09;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;160
2022-12;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;41
2023-03;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;43
2023-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE - Almada;38.6658713, -9.1822554;185
2023-09;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;185
2023-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;126
2023-09;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;152
2023-12;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;146
2023-12;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038123, -8.4216163;40
2024-03;Região de Saúde Norte;Unidade Local de Saúde de Barcelos/Esposende, E. P. E.;41.5324234, -8.6171561;99
2024-03;Região de Saúde LVT;Unidade Local de Saúde do Arco Ribeirinho, E. P. E.;38.6554005, -9.0592392;172
2024-03;Região de Saúde LVT;Unidade Local de Saúde do Oeste, E. P. E.;39.4054629, -9.1258493;151
2024-06;Região de Saúde do Centro;Unidade Local de Saúde do Baixo Mondego, E. P. E.;40.117897, -8.8586755;67
2024-06;Região de Saúde Norte;UNIDADE LOCAL DE SAÚDE ALTO MINHO, EPE;41.7056054, -8.8252713;111
2024-06;Região de Saúde do Algarve;Unidade Local de Saúde do Algarve, E. P. E.;37.0238973, -7.9281554;102
2024-06;Região de Saúde LVT;Unidade Local de Saúde do Oeste, E. P. E.;39.4054629, -9.1258493;132
2014-03;Região de Saúde Norte;Hospital da Senhora da Oliveira Guimarães, EPE;41.4387173, -8.3086907;0
2018-09;Região de Saúde Norte;Instituto Português de Oncologia do Porto, EPE;41.1785642, -8.6062881;104
2019-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;182
2020-06;Região de Saúde LVT;Hospital Fernando Fonseca, EPE;38.7422257, -9.2264834;149
2020-09;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;113
2021-03;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038123, -8.4216163;41
2021-09;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Central, EPE;38.7166948, -9.1371248;284
2022-03;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;176
2022-12;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272677, -7.9490091;27
2023-03;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;167
2023-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;122
2014-06;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;0
2014-12;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;288
2015-03;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;24
2015-12;Serviços Centrais;Instituto Português do Sangue e da Transplantação, IP;38.7567758, -9.1505021;0
2016-03;Serviços Centrais;Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa;38.7643827, -9.1663422;0
2016-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;294
2016-03;Região de Saúde Norte;Centro Hospitalar Médio Ave, EPE;41.3423984, -8.4802503;208
2016-06;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;73
2016-06;Região de Saúde do Centro;Hospital José Luciano de Castro - Anadia;40.442326, -8.441689;0
2017-03;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;286
2017-06;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173, -8.3086907;0
2017-09;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;315
2018-03;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;342
2018-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;226
2018-09;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015, -8.5933462;16
2019-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;58
2019-06;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;126
2020-03;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;34
2021-06;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;171
2021-09;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;191
2022-03;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;12
2022-09;Região de Saúde LVT;Instituto Português de Oncologia de Lisboa, EPE;38.7396768, -9.1634516;193
2022-09;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;183
2022-09;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, EPE;40.9293884, -8.5458794;185
2022-09;Região de Saúde Norte;Administração Regional de Saúde do Norte;41.1576321, -8.6066408;48
2022-09;Região de Saúde Norte;Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE;41.3828711, -8.7589945;220
2023-03;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;179
2023-03;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272677, -7.9490091;32
2023-06;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;153
2023-09;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;156
2023-09;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;142
2023-12;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272677, -7.9490091;19
2024-03;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038123, -8.4216163;38
2024-06;Região de Saúde do Centro;Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.;40.516364, -8.0827433;122
2024-09;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E. P. E.;41.3031784, -7.7515252;149
2024-12;Região de Saúde Norte;UNIDADE LOCAL DE SAUDE DO NORDESTE, EPE;41.8056532, -6.7888197;90
2015-09;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;342
2015-12;Região de Saúde Norte;Unidade Local de Saúde Alto Minho, EPE;41.7056054, -8.8252713;98
2016-03;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;52
2016-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;80
2016-03;Região de Saúde Norte;Instituto Português de Oncologia do Porto, EPE;41.1785642, -8.6062881;39
2016-09;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;95
2017-09;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;312
2017-09;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;514
2017-12;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;178
2017-12;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;439
2017-12;Região de Saúde Norte;Centro Hospitalar do Tâmega e Sousa, EPE;41.2494561, -8.264901;207
2018-03;Serviços Centrais;Administração Central do Sistema de Saúde, I.P;38.759209, -9.148981;15
2019-12;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;131
2020-03;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;124
2020-03;Região de Saúde Norte;Hospital da Senhora da Oliveira Guimarães, EPE;41.4387173, -8.3086907;198
2020-03;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;154
2020-06;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;21
2020-06;Região de Saúde Norte;Administração Regional de Saúde do Norte;41.1576321, -8.6066408;38
2020-09;Região de Saúde Norte;Hospital de Braga, EPE;39.4054629, -9.1258493;41
2020-09;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;37
2020-12;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;131
2020-12;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;174
2020-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;122
2021-03;Região de Saúde do Centro;Instituto Português de Oncologia de Coimbra, EPE;40.2162514, -8.4103814;120
2021-03;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;121
2021-03;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo - Ovar;40.8571967, -8.6318023;87
2021-06;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;167
2021-06;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;116
2021-09;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;177
2021-09;Região de Saúde Norte;Instituto Português de Oncologia do Porto, EPE;41.1785642, -8.6062881;108
2021-09;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo;38.7490049, -9.1417844;30
2021-12;Região de Saúde Norte;Instituto Português de Oncologia do Porto, EPE;41.1785642, -8.6062881;121
2021-12;Região de Saúde LVT;Hospital Fernando Fonseca, EPE;38.7422257, -9.2264834;160
2021-12;Região de Saúde LVT;Hospital de Loures, EPE;38.8214678, -9.176741;
2022-03;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;137
2022-03;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa, SPA;38.7569771, -9.1460705;39
2022-03;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E;37.0238973, -7.9281554;164
2022-06;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;187
2022-06;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;111
2022-06;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;228
2022-06;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272677, -7.9490091;20
2022-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;162
2023-03;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;184
2023-03;Serviços Centrais;Direção Executiva do Serviço Nacional de Saúde, I.P.;41.1831056, -8.6010558;0
2023-06;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;158
2023-06;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;125
2023-09;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;156
2023-09;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;187
2023-12;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;138
2024-03;Região de Saúde do Centro;Unidade Local de Saúde da Cova da Beira, E. P. E.;40.2804158, -7.4922407;147
