year,phfsi_mean,phfsi_std,phfsi_count,ossr_mean,spi_mean,lrr_mean,tlr_mean,phfsi_se
2017,0.37710677838941925,0.12199533504137147,22,0.8708807808308968,0.657597749935631,0.42160191232799543,0.9937038370283671,0.0260094928228631
2018,0.3337122083143189,0.1324481473512428,23,0.8376054724306184,0.7470858198807407,0.39668467244734557,0.9906677533095217,0.027617347837889494
2019,0.32734123972154716,0.10349893144558087,22,0.8298615445138754,0.7657030353553156,0.39425654553053013,0.9943263594713294,0.022066046326238056
2020,0.3440724696576277,0.09066460643300504,22,0.8432689861501323,0.7989572304853907,0.40487532178326174,0.9934718248082535,0.01932975903961616
2021,0.3358052091719464,0.09954421452860118,22,0.8366761793178396,0.7890890905053025,0.39957183682084113,0.9926464076561736,0.021222897846554335
2022,0.3337656305878229,0.10887820052496686,22,0.8384212915299915,0.8157646260130837,0.3999270451414375,0.9926105452674954,0.02321291034743273
2023,0.37818714195088426,0.11192799968251713,23,0.8751848540469922,0.7091523714017055,0.4248115219153424,0.992554524234587,0.02333860127038051
