tempo;regiao;entidade;localizacao_geografica;tipologia_de_ausencia;valor
2014-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Falecimento de familiar;174
2021-01;Região de Saúde LVT;Autoridade Nacional Medicamento Produtos de Saúde, I.P.;38.7582532, -9.1502867;Com perda do vencimento;0
2014-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Trabalhador-estudante;152
2021-01;Região de Saúde LVT;Ação Governativa - MS;38.7362218, -9.1463126;Protecção na parentalidade;0
2014-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Casamento;49
2021-01;Região de Saúde LVT;Ação Governativa - MS;38.7362218, -9.1463126;Por conta do período de férias;0
2014-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Falecimento de familiar;43
2021-01;Região de Saúde LVT;Ação Governativa - MS;38.7362218, -9.1463126;Greve;0
2014-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Trabalhador-estudante;105
2021-01;Região de Saúde LVT;Ação Governativa - MS;38.7362218, -9.1463126;Injustificadas;0
2014-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Por conta do período de férias;53
2021-01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, E.P.E.;38.6554005, -9.0592392;Casamento;0
2014-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Com perda do vencimento;91
2021-01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, E.P.E.;38.6554005, -9.0592392;Por acidente em serviço ou doença profissional;865
