tempo;regiao;entidade;localizacao_geografica;tipologia_de_ausencia;valor
2020-12;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, E.P.E.;41.1094138, -8.5972617;Com perda do vencimento;177
2014-05;Região de Saúde LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Cumprimento de pena disciplinar;15
2020-12;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Casamento;75
2014-05;Região de Saúde LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Injustificadas;1
2020-12;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Falecimento de familiar;293
2014-05;Região de Saúde LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Outras;714
2020-12;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Por acidente em serviço ou doença profissional;2973
2014-05;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Por acidente em serviço ou doença profissional;8481
2020-12;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Trabalhador-estudante;194
2014-05;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Assistência a familiares;366
2020-12;Região de Saúde Norte;Hospital de Braga, E.P.E.;41.567832, -8.398936;Casamento;358
2014-05;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Por conta do período de férias;140
2020-12;Região de Saúde Norte;Hospital de Braga, E.P.E.;41.567832, -8.398936;Falecimento de familiar;693
2014-05;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Com perda do vencimento;0
2020-12;Região de Saúde Norte;Hospital de Braga, E.P.E.;41.567832, -8.398936;Por acidente em serviço ou doença profissional;4022
2014-05;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Greve;0
2020-12;Região de Saúde Norte;Hospital de Braga, E.P.E.;41.567832, -8.398936;Greve;1396
2014-05;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Por conta do período de férias;202
2020-12;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234, -8.6171561;Protecção na parentalidade;6895
2014-05;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Cumprimento de pena disciplinar;0
2020-12;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234, -8.6171561;Por acidente em serviço ou doença profissional;1379
2014-05;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Injustificadas;0
2020-12;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234, -8.6171561;Com perda do vencimento;0
2014-05;Região de Saúde LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946, -8.6937515;Trabalhador-estudante;194
2020-12;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234, -8.6171561;Injustificadas;4
2014-05;Região de Saúde LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946, -8.6937515;Por conta do período de férias;114
2020-12;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, E.P.E.;41.4417064, -8.1722408;Protecção na parentalidade;29561
2014-05;Região de Saúde LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946, -8.6937515;Outras;3948
2020-12;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, E.P.E.;41.4417064, -8.1722408;Trabalhador-estudante;657
2014-05;Região de Saúde LVT;Hospital Garcia de Orta, E.P.E.;38.6658713, -9.1822554;Por acidente em serviço ou doença profissional;2181
2020-12;Região de Saúde Norte;Hospital de Magalhães Lemos, E.P.E.;41.1764649, -8.6649823;Casamento;30
2014-05;Região de Saúde LVT;Hospital Garcia de Orta, E.P.E.;38.6658713, -9.1822554;Por conta do período de férias;111
2020-12;Região de Saúde Norte;Hospital de Magalhães Lemos, E.P.E.;41.1764649, -8.6649823;Com perda do vencimento;32
2014-05;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Falecimento de familiar;0
2020-12;Região de Saúde Norte;Hospital de Magalhães Lemos, E.P.E.;41.1764649, -8.6649823;Injustificadas;20
2014-05;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Por conta do período de férias;0
2020-12;Região de Saúde Norte;Instituto Português Oncologia do Porto, E.P.E.;41.1785642, -8.6062881;Protecção na parentalidade;36171
2014-05;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Cumprimento de pena disciplinar;0
2020-12;Região de Saúde Norte;Instituto Português Oncologia do Porto, E.P.E.;41.1785642, -8.6062881;Por conta do período de férias;53
2014-05;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Outras;0
2020-12;Região de Saúde Norte;Instituto Português Oncologia do Porto, E.P.E.;41.1785642, -8.6062881;Injustificadas;134
2014-05;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, E.P.E.;38.7396768, -9.1634516;Com perda do vencimento;0
2020-12;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Casamento;341
2014-05;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, E.P.E.;38.7396768, -9.1634516;Cumprimento de pena disciplinar;38
2020-12;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Protecção na parentalidade;37196
2014-05;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, E.P.E.;38.7396768, -9.1634516;Outras;1251
2020-12;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Por conta do período de férias;200
2014-05;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Doença;468
