2025-12-31 23:04:38,726 - INFO - ======================================================================
2025-12-31 23:04:38,726 - INFO - ULS INTEGRATION STRUCTURE ANALYSIS
2025-12-31 23:04:38,726 - INFO - ======================================================================

2025-12-31 23:04:38,726 - INFO - Loading entities from all datasets...
2025-12-31 23:04:38,801 - INFO -   Monthly panel: 192 entities
2025-12-31 23:04:38,814 - INFO -   Quality data: 128 entities
2025-12-31 23:04:38,821 - INFO -   Financial data: 95 entities
2025-12-31 23:04:38,821 - INFO - 
Total unique entities: 252
2025-12-31 23:04:38,822 - INFO - 
Classifying entities...
2025-12-31 23:04:38,822 - INFO - 
Classification results:
2025-12-31 23:04:38,822 - INFO -   ULS: 128
2025-12-31 23:04:38,822 - INFO -   IPO: 16
2025-12-31 23:04:38,822 - INFO -   Hospitals/Centros Hospitalares: 95
2025-12-31 23:04:38,822 - INFO -   ACES: 0
2025-12-31 23:04:38,822 - INFO -   Other: 13
2025-12-31 23:04:38,822 - INFO - 
======================================================================
2025-12-31 23:04:38,822 - INFO - 53. Unidade Local de Saúde de Gaia / Espinho, E.P.E.
2025-12-31 23:04:38,822 - INFO - 54. Unidade Local de Saúde de Gaia/Espinho, E. P. E.
2025-12-31 23:04:38,822 - INFO - 55. Unidade Local de Saúde de Lisboa Ocidental, E. P. E.
2025-12-31 23:04:38,822 - INFO - 56. Unidade Local de Saúde de Lisboa Ocidental, E.P.E.
2025-12-31 23:04:38,822 - INFO - 57. Unidade Local de Saúde de Lisboa Ocidental, EPE
2025-12-31 23:04:38,822 - INFO - 58. Unidade Local de Saúde de Loures / Odivelas, E.P.E.
2025-12-31 23:04:38,822 - INFO - 59. Unidade Local de Saúde de Loures-Odivelas, E. P. E.
2025-12-31 23:04:38,822 - INFO - 60. Unidade Local de Saúde de Loures-Odivelas, EPE
2025-12-31 23:04:38,822 - INFO - 61. Unidade Local de Saúde de Matosinhos, E. P. E.
2025-12-31 23:04:38,822 - INFO - 62. Unidade Local de Saúde de Matosinhos, E.P.E.
2025-12-31 23:04:38,822 - INFO - 63. Unidade Local de Saúde de Matosinhos, EPE
2025-12-31 23:04:38,822 - INFO - 64. Unidade Local de Saúde de Santa Maria, E. P. E.
2025-12-31 23:04:38,822 - INFO - 65. Unidade Local de Saúde de Santa Maria, E.P.E.
2025-12-31 23:04:38,822 - INFO - 66. Unidade Local de Saúde de Santa Maria, EPE
2025-12-31 23:04:38,822 - INFO - 67. Unidade Local de Saúde de Santo António, E. P. E.
2025-12-31 23:04:38,822 - INFO - 68. Unidade Local de Saúde de Santo António, E.P.E.
2025-12-31 23:04:38,822 - INFO - 69. Unidade Local de Saúde de Santo António, EPE
2025-12-31 23:04:38,822 - INFO - 70. Unidade Local de Saúde de São José, E. P. E.
2025-12-31 23:04:38,823 - INFO - 71. Unidade Local de Saúde de São José, E.P.E.
2025-12-31 23:04:38,823 - INFO - 72. Unidade Local de Saúde de São José, EPE
2025-12-31 23:04:38,823 - INFO - 73. Unidade Local de Saúde de São João, E. P. E.
2025-12-31 23:04:38,823 - INFO - 74. Unidade Local de Saúde de São João, E.P.E.
2025-12-31 23:04:38,823 - INFO - 75. Unidade Local de Saúde de São João, EPE
2025-12-31 23:04:38,823 - INFO - 76. Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E. P. E.
2025-12-31 23:04:38,823 - INFO - 77. Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.
2025-12-31 23:04:38,823 - INFO - 78. Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE
2025-12-31 23:04:38,823 - INFO - 79. Unidade Local de Saúde de Vila Nova de Gaia/Espinho, EPE
2025-12-31 23:04:38,823 - INFO - 80. Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.
2025-12-31 23:04:38,823 - INFO - 81. Unidade Local de Saúde de Viseu Dão-Lafões, E.P.E.
2025-12-31 23:04:38,823 - INFO - 82. Unidade Local de Saúde do Alentejo Central, E. P. E.
2025-12-31 23:04:38,823 - INFO - 83. Unidade Local de Saúde do Alentejo Central, E.P.E.
2025-12-31 23:04:38,823 - INFO - 84. Unidade Local de Saúde do Alentejo Central, EPE
2025-12-31 23:04:38,823 - INFO - 85. Unidade Local de Saúde do Algarve, E. P. E.
2025-12-31 23:04:38,823 - INFO - 86. Unidade Local de Saúde do Algarve, E.P.E.
2025-12-31 23:04:38,823 - INFO - 87. Unidade Local de Saúde do Algarve, EPE
2025-12-31 23:04:38,823 - INFO - 88. Unidade Local de Saúde do Alto Alentejo, E. P. E.
2025-12-31 23:04:38,823 - INFO - 89. Unidade Local de Saúde do Alto Alentejo, E.P.E.
2025-12-31 23:04:38,823 - INFO - 90. Unidade Local de Saúde do Alto Alentejo, EPE
2025-12-31 23:04:38,823 - INFO - 91. Unidade Local de Saúde do Alto Ave, E. P. E.
2025-12-31 23:04:38,823 - INFO - 92. Unidade Local de Saúde do Alto Ave, E.P.E.
2025-12-31 23:04:38,823 - INFO - 93. Unidade Local de Saúde do Alto Ave, EPE
2025-12-31 23:04:38,823 - INFO - 94. Unidade Local de Saúde do Alto Minho, E. P. E.
2025-12-31 23:04:38,823 - INFO - 95. Unidade Local de Saúde do Alto Minho, E.P.E.
2025-12-31 23:04:38,823 - INFO - 96. Unidade Local de Saúde do Alto Minho, EPE
2025-12-31 23:04:38,823 - INFO - 97. Unidade Local de Saúde do Arco Ribeirinho, E. P. E.
2025-12-31 23:04:38,823 - INFO - 98. Unidade Local de Saúde do Arco Ribeirinho, E.P.E.
2025-12-31 23:04:38,823 - INFO - 99. Unidade Local de Saúde do Arco Ribeirinho, EPE
2025-12-31 23:04:38,823 - INFO - 100. Unidade Local de Saúde do Baixo Alentejo, E. P. E.
2025-12-31 23:04:38,823 - INFO - 101. Unidade Local de Saúde do Baixo Alentejo, E.P.E.
2025-12-31 23:04:38,823 - INFO - 102. Unidade Local de Saúde do Baixo Alentejo, EPE
2025-12-31 23:04:38,823 - INFO - 103. Unidade Local de Saúde do Baixo Mondego, E. P. E.
2025-12-31 23:04:38,823 - INFO - 104. Unidade Local de Saúde do Baixo Mondego, E.P.E.
2025-12-31 23:04:38,823 - INFO - 105. Unidade Local de Saúde do Baixo Mondego, EPE
2025-12-31 23:04:38,823 - INFO - 106. Unidade Local de Saúde do Estuário do Tejo, E. P. E.
2025-12-31 23:04:38,823 - INFO - 107. Unidade Local de Saúde do Estuário do Tejo, E.P.E.
2025-12-31 23:04:38,823 - INFO - 108. Unidade Local de Saúde do Estuário do Tejo, EPE
2025-12-31 23:04:38,823 - INFO - 109. Unidade Local de Saúde do Litoral Alentejano, E. P. E.
2025-12-31 23:04:38,823 - INFO - 110. Unidade Local de Saúde do Litoral Alentejano, E.P.E.
2025-12-31 23:04:38,823 - INFO - 111. Unidade Local de Saúde do Litoral Alentejano, EPE
2025-12-31 23:04:38,823 - INFO - 112. Unidade Local de Saúde do Médio Ave, E. P. E.
2025-12-31 23:04:38,823 - INFO - 113. Unidade Local de Saúde do Médio Ave, E.P.E.
2025-12-31 23:04:38,823 - INFO - 114. Unidade Local de Saúde do Médio Ave, EPE
2025-12-31 23:04:38,823 - INFO - 115. Unidade Local de Saúde do Médio Tejo, E. P. E.
2025-12-31 23:04:38,823 - INFO - 116. Unidade Local de Saúde do Médio Tejo, E.P.E.
2025-12-31 23:04:38,823 - INFO - 117. Unidade Local de Saúde do Médio Tejo, EPE
2025-12-31 23:04:38,823 - INFO - 118. Unidade Local de Saúde do Nordeste, E. P. E.
2025-12-31 23:04:38,823 - INFO - 119. Unidade Local de Saúde do Nordeste, E.P.E.
2025-12-31 23:04:38,823 - INFO - 120. Unidade Local de Saúde do Nordeste, EPE
2025-12-31 23:04:38,823 - INFO - 121. Unidade Local de Saúde do Norte Alentejano, E. P. E.
2025-12-31 23:04:38,823 - INFO - 122. Unidade Local de Saúde do Norte Alentejano, EPE
2025-12-31 23:04:38,823 - INFO - 123. Unidade Local de Saúde do Oeste, E. P. E.
2025-12-31 23:04:38,823 - INFO - 124. Unidade Local de Saúde do Oeste, E.P.E.
2025-12-31 23:04:38,823 - INFO - 125. Unidade Local de Saúde do Oeste, EPE
2025-12-31 23:04:38,823 - INFO - 126. Unidade Local de Saúde do Tâmega e Sousa, E. P. E.
2025-12-31 23:04:38,823 - INFO - 127. Unidade Local de Saúde do Tâmega e Sousa, E.P.E.
2025-12-31 23:04:38,823 - INFO - 128. Unidade Local de Saúde do Tâmega e Sousa, EPE
2025-12-31 23:04:38,823 - INFO - 
Geographic distribution:
2025-12-31 23:04:38,823 - INFO -   LOCAL DE SAUDE DE CASTELO BRANCO: 1
2025-12-31 23:04:38,823 - INFO -   LOCAL DE SAUDE DO LITORAL ALENTEJANO: 1
2025-12-31 23:04:38,823 - INFO -   LOCAL DE SAUDE DO NORDESTE: 1
2025-12-31 23:04:38,823 - INFO -   LOCAL DE SAÚDE ALTO MINHO: 1
2025-12-31 23:04:38,823 - INFO -   LOCAL DE SAÚDE DA GUARDA: 1
2025-12-31 23:04:38,823 - INFO -   LOCAL DE SAÚDE DE MATOSINHOS: 1
2025-12-31 23:04:38,823 - INFO -   Local de Saúde Castelo Branco: 1
2025-12-31 23:04:38,823 - INFO -   Local de Saúde da Arrábida: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde da Cova da Beira: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde da Guarda: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde da Lezíria: 2
2025-12-31 23:04:38,823 - INFO -   Local de Saúde da Região de Aveiro: 2
