freq;freq_label;unit;unit_label;geo;geo_label;time;time_label;value
A;Annual;MIO_EUR;Million euro;PT;Portugal;2000;2000;128414.45
A;Annual;MIO_EUR;Million euro;PT;Portugal;2001;2001;135775.01
A;Annual;MIO_EUR;Million euro;PT;Portugal;2002;2002;142554.26
A;Annual;MIO_EUR;Million euro;PT;Portugal;2003;2003;146067.86
A;Annual;MIO_EUR;Million euro;PT;Portugal;2004;2004;152248.39
A;Annual;MIO_EUR;Million euro;PT;Portugal;2005;2005;158552.7
A;Annual;MIO_EUR;Million euro;PT;Portugal;2006;2006;166260.47
A;Annual;MIO_EUR;Million euro;PT;Portugal;2007;2007;175483.4
A;Annual;MIO_EUR;Million euro;PT;Portugal;2008;2008;179102.78
A;Annual;MIO_EUR;Million euro;PT;Portugal;2009;2009;175416.44
A;Annual;MIO_EUR;Million euro;PT;Portugal;2010;2010;179610.78
A;Annual;MIO_EUR;Million euro;PT;Portugal;2011;2011;176096.17
A;Annual;MIO_EUR;Million euro;PT;Portugal;2012;2012;168295.57
A;Annual;MIO_EUR;Million euro;PT;Portugal;2013;2013;170492.27
A;Annual;MIO_EUR;Million euro;PT;Portugal;2014;2014;173053.69
A;Annual;MIO_EUR;Million euro;PT;Portugal;2015;2015;179713.16
A;Annual;MIO_EUR;Million euro;PT;Portugal;2016;2016;186489.81
A;Annual;MIO_EUR;Million euro;PT;Portugal;2017;2017;195947.21
A;Annual;MIO_EUR;Million euro;PT;Portugal;2018;2018;205184.12
A;Annual;MIO_EUR;Million euro;PT;Portugal;2019;2019;214374.62
A;Annual;MIO_EUR;Million euro;PT;Portugal;2020;2020;200518.86
A;Annual;MIO_EUR;Million euro;PT;Portugal;2021;2021;216493.75
A;Annual;MIO_EUR;Million euro;PT;Portugal;2022;2022;243957.09
A;Annual;MIO_EUR;Million euro;PT;Portugal;2023;2023;267384.33
