freq;freq_label;sex;sex_label;unit;unit_label;age;age_label;geo;geo_label;time;time_label;value
A;Annual;M;Males;NR;Number;Y85-89;From 85 to 89 years;PT;Portugal;2014;2014;562395
A;Annual;F;Females;NR;Number;Y85-89;From 85 to 89 years;PT;Portugal;2014;2014;553280
A;Annual;T;Total;NR;Number;Y_GE85;85 years or over;PT;Portugal;2014;2014;546040
A;Annual;M;Males;NR;Number;Y_GE85;85 years or over;PT;Portugal;2014;2014;539439
A;Annual;F;Females;NR;Number;Y_GE85;85 years or over;PT;Portugal;2014;2014;537458
A;Annual;T;Total;NR;Number;Y_GE90;90 years or over;PT;Portugal;2014;2014;537661
A;Annual;M;Males;NR;Number;Y_GE90;90 years or over;PT;Portugal;2014;2014;547860
A;Annual;F;Females;NR;Number;Y_GE90;90 years or over;PT;Portugal;2014;2014;558899
A;Annual;T;Total;NR;Number;UNK;Unknown;PT;Portugal;2014;2014;560746
A;Annual;M;Males;NR;Number;UNK;Unknown;PT;Portugal;2014;2014;565378
A;Annual;F;Females;NR;Number;UNK;Unknown;PT;Portugal;2014;2014;570651
A;Annual;T;Total;NR;Number;TOTAL;Total;PT;Portugal;2015;2015;581043
A;Annual;M;Males;NR;Number;TOTAL;Total;PT;Portugal;2015;2015;559416
A;Annual;F;Females;NR;Number;TOTAL;Total;PT;Portugal;2015;2015;551466
A;Annual;T;Total;NR;Number;Y_LT5;Less than 5 years;PT;Portugal;2015;2015;547476
A;Annual;M;Males;NR;Number;Y_LT5;Less than 5 years;PT;Portugal;2015;2015;546782
A;Annual;F;Females;NR;Number;Y_LT5;Less than 5 years;PT;Portugal;2015;2015;545895
A;Annual;T;Total;NR;Number;Y5-9;From 5 to 9 years;PT;Portugal;2015;2015;545779
A;Annual;M;Males;NR;Number;Y5-9;From 5 to 9 years;PT;Portugal;2015;2015;543237
A;Annual;F;Females;NR;Number;Y5-9;From 5 to 9 years;PT;Portugal;2015;2015;544830
A;Annual;T;Total;NR;Number;Y10-14;From 10 to 14 years;PT;Portugal;2015;2015;555084
A;Annual;M;Males;NR;Number;Y10-14;From 10 to 14 years;PT;Portugal;2015;2015;570426
A;Annual;F;Females;NR;Number;Y10-14;From 10 to 14 years;PT;Portugal;2015;2015;688140
A;Annual;T;Total;NR;Number;Y15-19;From 15 to 19 years;PT;Portugal;2015;2015;665173
A;Annual;M;Males;NR;Number;Y15-19;From 15 to 19 years;PT;Portugal;2015;2015;637280
