freq;freq_label;isced11;isced11_label;sex;sex_label;age;age_label;unit;unit_label;geo;geo_label;time;time_label;value
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);M;Males;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;20.9
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);M;Males;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;16.8
A;Annual;ED5-8;Tertiary education (levels 5-8);M;Males;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;14.0
A;Annual;NRP;No response;M;Males;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;12.6
A;Annual;UNK;Unknown;M;Males;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;15.8
A;Annual;TOTAL;All ISCED 2011 levels;F;Females;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;15.6
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);F;Females;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;13.5
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);F;Females;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;14.2
A;Annual;ED5-8;Tertiary education (levels 5-8);F;Females;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;14.2
A;Annual;NRP;No response;F;Females;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;4.6
A;Annual;UNK;Unknown;F;Females;Y15-74;From 15 to 74 years;PC;Percentage;PT;Portugal;1999;1999;3.9
A;Annual;TOTAL;All ISCED 2011 levels;T;Total;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;3.9
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);T;Total;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;4.6
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);T;Total;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;6.2
A;Annual;ED5-8;Tertiary education (levels 5-8);T;Total;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;6.4
A;Annual;NRP;No response;T;Total;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;7.7
A;Annual;UNK;Unknown;T;Total;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;7.8
A;Annual;TOTAL;All ISCED 2011 levels;M;Males;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;8.1
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);M;Males;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;7.7
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);M;Males;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;9.6
A;Annual;ED5-8;Tertiary education (levels 5-8);M;Males;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;11.0
A;Annual;NRP;No response;M;Males;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;12.9
A;Annual;UNK;Unknown;M;Males;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;15.8
A;Annual;TOTAL;All ISCED 2011 levels;F;Females;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;16.5
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);F;Females;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;14.1
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);F;Females;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;12.6
A;Annual;ED5-8;Tertiary education (levels 5-8);F;Females;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;11.2
A;Annual;NRP;No response;F;Females;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;9.0
A;Annual;UNK;Unknown;F;Females;Y_GE15;15 years or over;PC;Percentage;PT;Portugal;1999;1999;7.1
A;Annual;TOTAL;All ISCED 2011 levels;T;Total;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;6.5
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);T;Total;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;6.9
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);T;Total;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;6.7
A;Annual;ED5-8;Tertiary education (levels 5-8);T;Total;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;6.2
A;Annual;NRP;No response;T;Total;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;6.5
A;Annual;UNK;Unknown;T;Total;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;6.5
A;Annual;TOTAL;All ISCED 2011 levels;M;Males;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;4.6
A;Annual;ED0-2;Less than primary, primary and lower secondary education (levels 0-2);M;Males;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;3.8
A;Annual;ED3_4;Upper secondary and post-secondary non-tertiary education (levels 3 and 4);M;Males;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;3.8
A;Annual;ED5-8;Tertiary education (levels 5-8);M;Males;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;4.5
A;Annual;NRP;No response;M;Males;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;6.1
A;Annual;UNK;Unknown;M;Males;Y20-64;From 20 to 64 years;PC;Percentage;PT;Portugal;1999;1999;6.3
