ano;trimestre;regiao;faixa_etaria;cod_capitulo;desc_capitulo;taxa_internamento;taxa_mortalidade
2023;Segundo;Região de Saúde do Norte;[25-45[;15;Gravidez, parto e puerpério;45.33;0.0
2023;Segundo;Região de Saúde do Norte;[25-45[;17;Malformações congénitas, deformações e anomalias cromossómicas;0.56;0.0
2023;Segundo;Região de Saúde do Norte;[25-45[;19;Lesões, envenenamento e algumas outras consequências de causas externas;7.64;0.78
2023;Segundo;Região de Saúde do Norte;[45-65[;4;Doenças endócrinas, nutricionais e metabólicas;4.57;0.5
2023;Segundo;Região de Saúde do Norte;[45-65[;9;Doenças do aparelho circulatório;11.35;2.77
2023;Segundo;Região de Saúde do Norte;[45-65[;10;Doenças do aparelho respiratório;6.25;6.04
2023;Segundo;Região de Saúde do Norte;[5-15[;12;Doenças da pele e do tecido subcutâneo;2.37;0.0
2023;Segundo;Região de Saúde do Norte;[5-15[;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;5.09;0.0
2023;Segundo;Região de Saúde do Norte;[65-120[;1;Algumas doenças infecciosas e parasitárias;4.7;26.83
2023;Segundo;Região de Saúde do Norte;[65-120[;8;Doenças do ouvido e da apófise mastóide;0.22;0.0
2023;Segundo;Região de Saúde do Norte;[65-120[;10;Doenças do aparelho respiratório;13.34;17.76
