ano;trimestre;regiao;faixa_etaria;cod_capitulo;desc_capitulo;taxa_internamento;taxa_mortalidade
2021;Segundo;Região de Saúde do Algarve;[45-65[;21;Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde;4.36;17.65
2021;Segundo;Região de Saúde do Algarve;[5-15[;11;Doenças do aparelho digestivo;29.66;0.0
2021;Segundo;Região de Saúde do Algarve;[5-15[;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;0.85;0.0
2021;Segundo;Região de Saúde do Algarve;[5-15[;17;Malformações congénitas, deformações e anomalias cromossómicas;0.85;0.0
2021;Segundo;Região de Saúde do Algarve;[65-120[;1;Algumas doenças infecciosas e parasitárias;1.65;48.15
2021;Segundo;Região de Saúde do Algarve;[65-120[;2;Neoplasias;11.09;20.6
2021;Segundo;Região de Saúde do Algarve;[65-120[;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.82;22.22
2021;Segundo;Região de Saúde do Algarve;[65-120[;7;Doenças do olho e anexos;0.06;0.0
2022;Quarto;Região de Saúde do Centro;[15-25[;7;Doenças do olho e anexos;0.22;0.0
2022;Quarto;Região de Saúde do Centro;[15-25[;13;Doenças do aparelho osteomuscular e do tecido conjuntivo;3.19;0.0
2022;Quarto;Região de Saúde do Centro;[25-45[;2;Neoplasias;5.61;5.26
2022;Quarto;Região de Saúde do Centro;[25-45[;9;Doenças do aparelho circulatório;3.3;1.68
2022;Quarto;Região de Saúde do Centro;[25-45[;19;Lesões, envenenamento e algumas outras consequências de causas externas;5.94;0.93
2022;Quarto;Região de Saúde do Centro;[25-45[;22;Códigos para fins especiais;0.28;6.67
2022;Quarto;Região de Saúde do Centro;[45-65[;11;Doenças do aparelho digestivo;14.27;3.19
2022;Quarto;Região de Saúde do Centro;[5-15[;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;1.85;0.0
2022;Quarto;Região de Saúde do Centro;[5-15[;6;Doenças do sistema nervoso;3.09;0.0
2022;Terceiro;Região de Saúde do Alentejo;[1-5[;14;Doenças do aparelho geniturinário;2.47;0.0
2022;Terceiro;Região de Saúde do Alentejo;[1-5[;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;12.35;0.0
2022;Terceiro;Região de Saúde do Alentejo;[1-5[;21;Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde;2.47;0.0
2022;Terceiro;Região de Saúde do Alentejo;[15-25[;5;Transtornos mentais, comportamentais e de neurodesenvolvimento;3.87;0.0
2022;Terceiro;Região de Saúde do Alentejo;[15-25[;9;Doenças do aparelho circulatório;1.94;0.0
2022;Terceiro;Região de Saúde do Alentejo;[15-25[;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;1.61;0.0
2022;Terceiro;Região de Saúde do Alentejo;[15-25[;22;Códigos para fins especiais;0.65;0.0
2022;Terceiro;Região de Saúde do Alentejo;[25-45[;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.81;0.0
2022;Terceiro;Região de Saúde do Alentejo;[25-45[;8;Doenças do ouvido e da apófise mastóide;0.09;0.0
2022;Terceiro;Região de Saúde do Alentejo;[25-45[;11;Doenças do aparelho digestivo;12.35;0.73
2022;Terceiro;Região de Saúde do Alentejo;[25-45[;15;Gravidez, parto e puerpério;48.42;0.0
2022;Terceiro;Região de Saúde do Alentejo;[25-45[;22;Códigos para fins especiais;0.54;0.0
2022;Terceiro;Região de Saúde do Alentejo;[45-65[;12;Doenças da pele e do tecido subcutâneo;1.08;6.25
2022;Terceiro;Região de Saúde do Alentejo;[45-65[;15;Gravidez, parto e puerpério;0.2;0.0
2022;Terceiro;Região de Saúde do Alentejo;[45-65[;17;Malformações congénitas, deformações e anomalias cromossómicas;0.07;0.0
2022;Terceiro;Região de Saúde do Alentejo;[45-65[;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;2.37;0.0
2021;Primeiro;Região de Saúde do Norte;[15-25[;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;1.1;0.0
2021;Primeiro;Região de Saúde do Norte;[15-25[;4;Doenças endócrinas, nutricionais e metabólicas;1.9;0.0
2021;Primeiro;Região de Saúde do Norte;[15-25[;6;Doenças do sistema nervoso;2.32;0.0
2021;Primeiro;Região de Saúde do Norte;[15-25[;11;Doenças do aparelho digestivo;10.79;0.0
2021;Primeiro;Região de Saúde do Norte;[25-45[;14;Doenças do aparelho geniturinário;4.5;0.22
2021;Primeiro;Região de Saúde do Norte;[25-45[;17;Malformações congénitas, deformações e anomalias cromossómicas;0.45;0.0
2021;Primeiro;Região de Saúde do Norte;[25-45[;19;Lesões, envenenamento e algumas outras consequências de causas externas;5.48;0.36
2021;Primeiro;Região de Saúde do Norte;[45-65[;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;0.61;5.05
