tempo;regiao;entidade;localizacao_geografica;ebitda;gastos_operacionais;rendimentos_operacionais;resultado_liquido;resultados_operacionais
2019-02;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;-9294224.1;69546160.3;58897342.67;-10567710.57;-10648817.63
2019-02;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;-2898549.28;16486630.99;13415895.68;-3070685.82;-3070735.31
2019-02;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;-1995173.51;20321383.81;18326210.3;-2001580.53;-1995173.51
2019-03;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;-7178008.24;25941758.79;18319359.94;-7622925.61;-7622398.85
2019-03;Região de Saúde do Centro;Hospital Distrital Figueira da Foz, EPE;40.117897, -8.8586755;-202045.12;8628272.17;8215053.63;-411835.85;-413218.54
2019-03;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;687642.19;5338864.58;5940570.37;602760.45;601705.79
2019-03;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;-5535928.87;30375735.7;24262674.87;-6113956.33;-6113060.83
2019-03;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;-844549.51;25261075.37;23646112.02;-1616942.18;-1614963.35
2019-03;Região de Saúde do Centro;Hospital Rovisco Pais;40.297919, -8.7707806;151164.59;2097390.9;2043274.08;-54144.88;-54116.82
2019-04;Região de Saúde LVT;Hospital Distrital Santarém, EPE;39.2410946, -8.6937515;-8845343.16;31827228.14;22372459.88;-9453982.37;-9454768.26
2019-04;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Norte, EPE;38.7500861, -9.1616116;-28417951.78;159780605.13;128288158.99;-31503363.64;-31492446.14
2019-04;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;-6886996.41;39379279.16;31385838.15;-7996055.7;-7993441.01
2019-04;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;-2959928.89;30807239.56;27336148.95;-3475894.4;-3471090.61
2019-04;Região de Saúde LVT;Centro Hospitalar do Barreiro - Montijo, EPE;38.6554005, -9.0592392;-7427904.71;31362650.44;22630821.82;-8731828.62;-8731828.62
2019-04;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;-1785743.52;25143563.17;22914620.85;-2262264.0;-2228942.32
2019-04;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;-7775893.41;34542037.65;26299077.86;-8242788.8;-8242959.79
2019-04;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;-3373700.94;35262215.06;30938459.48;-4324936.7;-4323755.58
2019-05;Região de Saúde Norte;Hospital Distrital S.Maria Maior, EPE - Barcelos;41.5324234, -8.6171561;118089.44;10033629.82;10000397.23;-30073.06;-33232.59
2019-05;Região de Saúde LVT;Instituto Português de Oncologia de Lisboa, EPE;38.7396768, -9.1634516;-7399804.11;67410973.43;57118832.92;-10291120.51;-10292140.51
2019-05;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;3806782.59;61237638.46;63095130.64;1861997.88;1857492.18
2019-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;7236007.43;39435290.2;46027237.52;6586013.54;6591947.32
2019-05;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;-9099649.52;43791300.28;34070532.39;-9719102.3;-9720767.89
2019-05;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;-11582378.74;59746685.09;47381107.35;-12386506.82;-12365577.74
2019-05;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;1989388.87;29768297.42;31336773.3;1564255.74;1568475.88
