geocod;geodsg;ind_string;valor;periodo
16B1006;Caldas da Rainha;60,8;60.8;2023
15;Algarve;60,9;60.9;2023
150;Algarve;60,9;60.9;2023
16E0111;Mealhada;60,9;60.9;2023
1701107;Loures;60,9;60.9;2023
16B1001;Alcobaça;61,0;61;2023
1861204;Campo Maior;61,0;61;2023
16E0603;Coimbra;61,3;61.3;2023
1701512;Setúbal;61,3;61.3;2023
1111610;Vila Nova de Cerveira;61,4;61.4;2023
11D1704;Mesão Frio;61,4;61.4;2023
16F;Região de Leiria;61,4;61.4;2023
185;Lezíria do Tejo;61,9;61.9;2023
1870713;Viana do Alentejo;61,9;61.9;2023
16B1108;Lourinhã;62,0;62;2023
1701503;Almada;62,0;62;2023
181;Alentejo Litoral;62,0;62;2023
1851403;Almeirim;62,1;62.1;2023
1111609;Viana do Castelo;62,2;62.2;2023
16D0101;Águeda;62,3;62.3;2023
1701110;Oeiras;62,4;62.4;2023
1500807;Lagos;62,5;62.5;2023
16B1012;Óbidos;62,5;62.5;2023
1870714;Vila Viçosa;62,7;62.7;2023
11D1708;Peso da Régua;62,9;62.9;2023
1500813;Silves;63,0;63;2023
1861207;Elvas;63,2;63.2;2023
1840206;Castro Verde;63,3;63.3;2023
16E0610;Montemor-o-Velho;63,4;63.4;2023
16I1421;Ourém;63,4;63.4;2023
1111608;Valença;63,5;63.5;2023
1851415;Salvaterra de Magos;63,5;63.5;2023
11D1815;São João da Pesqueira;63,7;63.7;2023
1851416;Santarém;63,8;63.8;2023
1870710;Redondo;63,8;63.8;2023
1191705;Mondim de Basto;64,0;64;2023
3003109;Santana;64,0;64;2023
1701504;Barreiro;64,2;64.2;2023
16;Centro;64,3;64.3;2023
16B1011;Nazaré;64,3;64.3;2023
16B1005;Bombarral;64,5;64.5;2023
18;Alentejo;64,5;64.5;2023
1870709;Portel;64,5;64.5;2023
1870711;Reguengos de Monsaraz;64,6;64.6;2023
1851412;Golegã;64,7;64.7;2023
187;Alentejo Central;64,7;64.7;2023
1870702;Arraiolos;64,9;64.9;2023
1500812;São Brás de Alportel;65,0;65;2023
16I1420;Vila Nova da Barquinha;65,0;65;2023
11E0402;Bragança;65,3;65.3;2023
1840214;Vidigueira;65,3;65.3;2023
11A0107;Espinho;65,6;65.6;2023
16B1014;Peniche;65,6;65.6;2023
16E;Região de Coimbra;65,6;65.6;2023
11D1801;Armamar;65,9;65.9;2023
1811505;Grândola;66,2;66.2;2023
1500816;Vila Real de Santo António;66,3;66.3;2023
11A0119;Vale de Cambra;66,4;66.4;2023
