geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;sinal_conv;sinal_conv_desc;ind_string;valor;periodo
17;Área Metropolitana de Lisboa;2;M;2;Básico - 1º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;27,5 §;27.5;4.º Trimestre de 2024
18;Alentejo;2;M;2;Básico - 1º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;6,4 §;6.4;4.º Trimestre de 2024
2;Região Autónoma dos Açores;2;M;2;Básico - 1º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;3,0 §;3;4.º Trimestre de 2024
20;Região Autónoma dos Açores;2;M;2;Básico - 1º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;3,0 §;3;4.º Trimestre de 2024
3;Região Autónoma da Madeira;2;M;2;Básico - 1º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;4,5 §;4.5;4.º Trimestre de 2024
30;Região Autónoma da Madeira;2;M;2;Básico - 1º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;4,5 §;4.5;4.º Trimestre de 2024
PT;Portugal;2;M;2;Básico - 1º Ciclo;;;122,9;122.9;4.º Trimestre de 2024
1;Continente;T;HM;2;Básico - 1º Ciclo;;;223,8;223.8;4.º Trimestre de 2024
11;Norte;T;HM;2;Básico - 1º Ciclo;;;105,3;105.3;4.º Trimestre de 2024
15;Algarve;T;HM;2;Básico - 1º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;10,5 §;10.5;4.º Trimestre de 2024
16;Centro;T;HM;2;Básico - 1º Ciclo;;;49,1;49.1;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;T;HM;2;Básico - 1º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;43,3 §;43.3;4.º Trimestre de 2024
18;Alentejo;T;HM;2;Básico - 1º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;15,7 §;15.7;4.º Trimestre de 2024
2;Região Autónoma dos Açores;T;HM;2;Básico - 1º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;8,3 §;8.3;4.º Trimestre de 2024
20;Região Autónoma dos Açores;T;HM;2;Básico - 1º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;8,3 §;8.3;4.º Trimestre de 2024
3;Região Autónoma da Madeira;T;HM;2;Básico - 1º Ciclo;;;10,0;10;4.º Trimestre de 2024
30;Região Autónoma da Madeira;T;HM;2;Básico - 1º Ciclo;;;10,0;10;4.º Trimestre de 2024
PT;Portugal;T;HM;2;Básico - 1º Ciclo;;;242,1;242.1;4.º Trimestre de 2024
1;Continente;1;H;3;Básico - 2º Ciclo;;;206,7;206.7;4.º Trimestre de 2024
11;Norte;1;H;3;Básico - 2º Ciclo;;;93,2;93.2;4.º Trimestre de 2024
15;Algarve;1;H;3;Básico - 2º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;9,7 §;9.7;4.º Trimestre de 2024
16;Centro;1;H;3;Básico - 2º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;47,7 §;47.7;4.º Trimestre de 2024
17;Área Metropolitana de Lisboa;1;H;3;Básico - 2º Ciclo;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;38,7 §;38.7;4.º Trimestre de 2024
