geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;ind_string;valor;periodo
150;Algarve;1;H;72;65 - 69 anos;15 288;15288;2023
16B1102;Arruda dos Vinhos;T;HM;T;Total;15 321;15321;2023
3;Região Autónoma da Madeira;T;HM;42;35 - 39 anos;15 338;15338;2023
30;Região Autónoma da Madeira;T;HM;42;35 - 39 anos;15 338;15338;2023
300;Região Autónoma da Madeira;T;HM;42;35 - 39 anos;15 338;15338;2023
11C;Tâmega e Sousa;1;H;52;45 - 49 anos;15 356;15356;2023
15;Algarve;1;H;71;60 - 64 anos;15 376;15376;2023
150;Algarve;1;H;71;60 - 64 anos;15 376;15376;2023
16E;Região de Coimbra;1;H;71;60 - 64 anos;15 381;15381;2023
11D;Douro;T;HM;71;60 - 64 anos;15 391;15391;2023
16B;Oeste;2;M;52;45 - 49 anos;15 394;15394;2023
119;Ave;2;M;72;65 - 69 anos;15 398;15398;2023
16E;Região de Coimbra;1;H;61;50 - 54 anos;15 421;15421;2023
16E;Região de Coimbra;T;HM;11;0 - 4 anos;15 433;15433;2023
11C0106;Castelo de Paiva;T;HM;T;Total;15 448;15448;2023
16F;Região de Leiria;T;HM;82;75 - 79 anos;15 454;15454;2023
1701105;Cascais;T;HM;62;55 - 59 anos;15 535;15535;2023
1851405;Benavente;1;H;T;Total;15 553;15553;2023
1190304;Cabeceiras de Basto;T;HM;T;Total;15 560;15560;2023
