geocod;geodsg;dim_3;dim_3_t;dim_4;dim_4_t;ind_string;valor;periodo
119;Ave;T;HM;92;85 e mais anos;12 018;12018;2023
16E0610;Montemor-o-Velho;1;H;T;Total;12 047;12047;2023
16B;Oeste;2;M;81;70 - 74 anos;12 050;12050;2023
119;Ave;1;H;41;30 - 34 anos;12 064;12064;2023
1190311;Vieira do Minho;T;HM;T;Total;12 066;12066;2023
1120303;Braga;T;HM;72;65 - 69 anos;12 072;12072;2023
11A1306;Maia;T;HM;52;45 - 49 anos;12 073;12073;2023
16I;Médio Tejo;T;HM;42;35 - 39 anos;12 080;12080;2023
16D;Região de Aveiro;2;M;81;70 - 74 anos;12 086;12086;2023
11C;Tâmega e Sousa;2;M;42;35 - 39 anos;12 096;12096;2023
1701503;Almada;T;HM;51;40 - 44 anos;12 098;12098;2023
16E0609;Miranda do Corvo;T;HM;T;Total;12 117;12117;2023
1851415;Salvaterra de Magos;2;M;T;Total;12 137;12137;2023
16G;Viseu Dão Lafões;T;HM;41;30 - 34 anos;12 143;12143;2023
16G;Viseu Dão Lafões;T;HM;22;15 - 19 anos;12 148;12148;2023
1500806;Lagoa;1;H;T;Total;12 150;12150;2023
16F;Região de Leiria;T;HM;12;5 - 9 anos;12 176;12176;2023
1701105;Cascais;T;HM;31;20 - 24 anos;12 183;12183;2023
11A1317;Vila Nova de Gaia;T;HM;11;0 - 4 anos;12 185;12185;2023
1701111;Sintra;1;H;41;30 - 34 anos;12 185;12185;2023
16I;Médio Tejo;T;HM;31;20 - 24 anos;12 190;12190;2023
119;Ave;1;H;31;20 - 24 anos;12 205;12205;2023
11C;Tâmega e Sousa;2;M;31;20 - 24 anos;12 216;12216;2023
16J0906;Gouveia;T;HM;T;Total;12 222;12222;2023
119;Ave;1;H;42;35 - 39 anos;12 227;12227;2023
112;Cávado;T;HM;92;85 e mais anos;12 228;12228;2023
1701510;Seixal;T;HM;51;40 - 44 anos;12 243;12243;2023
112;Cávado;2;M;32;25 - 29 anos;12 247;12247;2023
1190308;Guimarães;T;HM;52;45 - 49 anos;12 253;12253;2023
16J;Beiras e Serra da Estrela;T;HM;51;40 - 44 anos;12 255;12255;2023
112;Cávado;2;M;31;20 - 24 anos;12 270;12270;2023
11C;Tâmega e Sousa;1;H;72;65 - 69 anos;12 270;12270;2023
1701115;Amadora;T;HM;41;30 - 34 anos;12 273;12273;2023
16G1821;Tondela;1;H;T;Total;12 284;12284;2023
16F1016;Porto de Mós;2;M;T;Total;12 295;12295;2023
15;Algarve;1;H;31;20 - 24 anos;12 303;12303;2023
150;Algarve;1;H;31;20 - 24 anos;12 303;12303;2023
16B;Oeste;1;H;71;60 - 64 anos;12 319;12319;2023
112;Cávado;1;H;72;65 - 69 anos;12 340;12340;2023
11A1308;Matosinhos;T;HM;51;40 - 44 anos;12 346;12346;2023
11A1308;Matosinhos;T;HM;72;65 - 69 anos;12 354;12354;2023
15;Algarve;2;M;82;75 - 79 anos;12 363;12363;2023
150;Algarve;2;M;82;75 - 79 anos;12 363;12363;2023
119;Ave;2;M;42;35 - 39 anos;12 391;12391;2023
1701107;Loures;T;HM;71;60 - 64 anos;12 396;12396;2023
1701510;Seixal;T;HM;61;50 - 54 anos;12 399;12399;2023
1701114;Vila Franca de Xira;T;HM;52;45 - 49 anos;12 437;12437;2023
185;Lezíria do Tejo;T;HM;41;30 - 34 anos;12 460;12460;2023
119;Ave;1;H;32;25 - 29 anos;12 462;12462;2023
1701106;Lisboa;2;M;21;10 - 14 anos;12 475;12475;2023
15;Algarve;1;H;32;25 - 29 anos;12 492;12492;2023
150;Algarve;1;H;32;25 - 29 anos;12 492;12492;2023
11A1304;Gondomar;T;HM;71;60 - 64 anos;12 495;12495;2023
1701115;Amadora;T;HM;51;40 - 44 anos;12 496;12496;2023
15;Algarve;1;H;22;15 - 19 anos;12 506;12506;2023
150;Algarve;1;H;22;15 - 19 anos;12 506;12506;2023
1701106;Lisboa;1;H;81;70 - 74 anos;12 512;12512;2023
1701107;Loures;T;HM;41;30 - 34 anos;12 513;12513;2023
112;Cávado;2;M;41;30 - 34 anos;12 514;12514;2023
16E0608;Mira;T;HM;T;Total;12 523;12523;2023
1701111;Sintra;1;H;51;40 - 44 anos;12 524;12524;2023
11A0116;São João da Madeira;2;M;T;Total;12 538;12538;2023
1701116;Odivelas;T;HM;52;45 - 49 anos;12 543;12543;2023
111;Alto Minho;T;HM;42;35 - 39 anos;12 544;12544;2023
1870704;Estremoz;T;HM;T;Total;12 550;12550;2023
1190308;Guimarães;T;HM;62;55 - 59 anos;12 554;12554;2023
1701105;Cascais;T;HM;81;70 - 74 anos;12 558;12558;2023
1190314;Vizela;2;M;T;Total;12 560;12560;2023
185;Lezíria do Tejo;T;HM;32;25 - 29 anos;12 566;12566;2023
1701105;Cascais;T;HM;22;15 - 19 anos;12 578;12578;2023
16D0102;Albergaria-a-Velha;1;H;T;Total;12 586;12586;2023
11D1805;Lamego;2;M;T;Total;12 593;12593;2023
1120303;Braga;T;HM;41;30 - 34 anos;12 595;12595;2023
16D0118;Vagos;2;M;T;Total;12 609;12609;2023
1701106;Lisboa;2;M;91;80 - 84 anos;12 616;12616;2023
11C;Tâmega e Sousa;1;H;32;25 - 29 anos;12 624;12624;2023
16I;Médio Tejo;T;HM;92;85 e mais anos;12 641;12641;2023
1190308;Guimarães;T;HM;61;50 - 54 anos;12 675;12675;2023
2;Região Autónoma dos Açores;T;HM;21;10 - 14 anos;12 676;12676;2023
20;Região Autónoma dos Açores;T;HM;21;10 - 14 anos;12 676;12676;2023
200;Região Autónoma dos Açores;T;HM;21;10 - 14 anos;12 676;12676;2023
1701111;Sintra;2;M;42;35 - 39 anos;12 682;12682;2023
1851406;Cartaxo;2;M;T;Total;12 690;12690;2023
1701503;Almada;T;HM;61;50 - 54 anos;12 737;12737;2023
16I1402;Alcanena;T;HM;T;Total;12 750;12750;2023
16D;Região de Aveiro;1;H;71;60 - 64 anos;12 754;12754;2023
112;Cávado;1;H;31;20 - 24 anos;12 755;12755;2023
16G;Viseu Dão Lafões;T;HM;32;25 - 29 anos;12 759;12759;2023
112;Cávado;1;H;41;30 - 34 anos;12 762;12762;2023
119;Ave;2;M;81;70 - 74 anos;12 762;12762;2023
1500806;Lagoa;2;M;T;Total;12 768;12768;2023
11A1317;Vila Nova de Gaia;2;M;62;55 - 59 anos;12 776;12776;2023
1701106;Lisboa;2;M;22;15 - 19 anos;12 781;12781;2023
185;Lezíria do Tejo;T;HM;82;75 - 79 anos;12 784;12784;2023
11A1304;Gondomar;T;HM;52;45 - 49 anos;12 789;12789;2023
11D;Douro;T;HM;81;70 - 74 anos;12 811;12811;2023
185;Lezíria do Tejo;T;HM;22;15 - 19 anos;12 814;12814;2023
11D;Douro;T;HM;52;45 - 49 anos;12 817;12817;2023
112;Cávado;1;H;32;25 - 29 anos;12 818;12818;2023
16E0610;Montemor-o-Velho;2;M;T;Total;12 842;12842;2023
11A1317;Vila Nova de Gaia;T;HM;12;5 - 9 anos;12 890;12890;2023
1701106;Lisboa;1;H;12;5 - 9 anos;12 894;12894;2023
16B;Oeste;2;M;72;65 - 69 anos;12 909;12909;2023
16E0613;Penacova;T;HM;T;Total;12 919;12919;2023
1701106;Lisboa;1;H;21;10 - 14 anos;12 923;12923;2023
