geocod,geodsg,dim_3,dim_3_t,ind_string,valor,periodo,sinal_conv,sinal_conv_desc
1,Continente,05,Extração de hulha e lenhite,0,0,2012,,
1,Continente,06,Extração de petróleo bruto e gás natural,0,0,2012,,
11,Norte,05,Extração de hulha e lenhite,0,0,2012,,
11,Norte,06,Extração de petróleo bruto e gás natural,0,0,2012,,
11,Norte,12,Indústria do tabaco,0,0,2012,,
111,Minho-Lima,05,Extração de hulha e lenhite,0,0,2012,,
111,Minho-Lima,06,Extração de petróleo bruto e gás natural,0,0,2012,,
111,Minho-Lima,09,Atividades dos serviços relacionados com as indústrias extrativas,0,0,2012,,
111,Minho-Lima,12,Indústria do tabaco,0,0,2012,,
111,Minho-Lima,21,Fabricação de produtos farmacêuticos de base e de  preparações farmacêuticas,0,0,2012,,
111,Minho-Lima,39,Descontaminação e atividades similares,0,0,2012,,
111,Minho-Lima,51,Transportes aéreos,0,0,2012,,
1111601,Arcos de Valdevez,05,Extração de hulha e lenhite,0,0,2012,,
1111601,Arcos de Valdevez,06,Extração de petróleo bruto e gás natural,0,0,2012,,
1111601,Arcos de Valdevez,07,Extração e preparação de minérios metálicos,0,0,2012,,
1111601,Arcos de Valdevez,09,Atividades dos serviços relacionados com as indústrias extrativas,0,0,2012,,
1111601,Arcos de Valdevez,12,Indústria do tabaco,0,0,2012,,
1111601,Arcos de Valdevez,15,Indústria do couro e dos produtos do couro,0,0,2012,,
1111601,Arcos de Valdevez,17,"Fabricação de pasta, de papel, de cartão e seus artigos",0,0,2012,,
1111601,Arcos de Valdevez,19,"Fabricação de coque, produtos petrolíferos refinados e de aglomerados de combustíveis",0,0,2012,,
1111601,Arcos de Valdevez,21,Fabricação de produtos farmacêuticos de base e de  preparações farmacêuticas,0,0,2012,,
1111601,Arcos de Valdevez,24,Indústrias metalúrgicas de base,0,0,2012,,
1111601,Arcos de Valdevez,27,Fabricação de equipamento elétrico,0,0,2012,,
1111601,Arcos de Valdevez,30,Fabricação de outro equipamento de transporte,0,0,2012,,
1111601,Arcos de Valdevez,32,Outras indústrias transformadoras,0,0,2012,,
1111601,Arcos de Valdevez,39,Descontaminação e atividades similares,0,0,2012,,
1111601,Arcos de Valdevez,50,Transportes por água,0,0,2012,,
1111601,Arcos de Valdevez,51,Transportes aéreos,0,0,2012,,
