geocod,geodsg,dim_3,dim_3_t,sinal_conv,sinal_conv_desc,ind_string,periodo,valor
PTVDC,Viana do Castelo,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,,,49 405,2023,49405
PTVDP,Vila do Porto,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,-,Dado nulo ou não aplicável,-,2023,
PTVEL,Velas,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,-,Dado nulo ou não aplicável,-,2023,
PTVNC,Vila Nova do Corvo,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,-,Dado nulo ou não aplicável,-,2023,
PTVRE,Vila Real de Santo António,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,,,452,2023,452
C,Continente,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,,,2 612 105,2023,2612105
M,Região Autónoma da Madeira,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,-,Dado nulo ou não aplicável,-,2023,
P,Portugal,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,,,2 612 557,2023,2612557
PT88P,Instalações offshore de Portugal,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,,,145 427,2023,145427
PTCAL,Calheta,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,-,Dado nulo ou não aplicável,-,2023,
PTCDP,Cais do Pico,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,,,15,2023,15
PTCNL,Caniçal,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,-,Dado nulo ou não aplicável,-,2023,
PTFAO,Faro,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,-,Dado nulo ou não aplicável,-,2023,
PTFDF,Figueira da Foz,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,,,385 585,2023,385585
PTFNC,Funchal,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,-,Dado nulo ou não aplicável,-,2023,
PTHOR,Horta,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,,,87,2023,87
PTLAJ,Lajes das Flores,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,,,24,2023,24
PTLDP,Lajes do Pico,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,,,273 894,2023,273894
PTLIS,Lisboa,03,Produtos não energéticos das indústrias extrativas; turfa; urânio e tório,,,579 224,2023,579224
