geocod,geodsg,dim_3,dim_3_t,sinal_conv,sinal_conv_desc,ind_string,periodo,valor
PTSCG,Santa Cruz da Graciosa,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,81 449,2023,81449
PTSIN,Sines,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,1 772 739,2023,1772739
PTVDC,Viana do Castelo,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,-,Dado nulo ou não aplicável,-,2023,
PTVDP,Vila do Porto,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,1 158,2023,1158
PTVEL,Velas,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,79,2023,79
PTVNC,Vila Nova do Corvo,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,-,Dado nulo ou não aplicável,-,2023,
PTVRE,Vila Real de Santo António,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,24 488,2023,24488
C,Continente,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,2 775 912,2023,2775912
M,Região Autónoma da Madeira,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,4 983,2023,4983
P,Portugal,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,2 805 383,2023,2805383
PT88P,Instalações offshore de Portugal,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,266 488,2023,266488
PTCAL,Calheta,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,-,Dado nulo ou não aplicável,-,2023,
PTCDP,Cais do Pico,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,1 078,2023,1078
PTCNL,Caniçal,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,4 703,2023,4703
PTFAO,Faro,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,-,Dado nulo ou não aplicável,-,2023,
PTFDF,Figueira da Foz,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,26,2023,26
PTFNC,Funchal,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,-,Dado nulo ou não aplicável,-,2023,
PTHOR,Horta,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,2 327,2023,2327
PTLAJ,Lajes das Flores,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,559,2023,559
PTLDP,Lajes do Pico,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,359 431,2023,359431
PTLIS,Lisboa,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,,,295 779,2023,295779
PTMAD,Madalena,08,Produtos químicos e fibras sintéticas; artigos de borracha e de matérias plásticas; combustível nuclear,-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,09,Outros produtos minerais não metálicos,-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,09,Outros produtos minerais não metálicos,,,55 106,2023,55106
PTPRG,Praia da Graciosa,09,Outros produtos minerais não metálicos,,,278,2023,278
PTPRM,Portimão,09,Outros produtos minerais não metálicos,-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,09,Outros produtos minerais não metálicos,,,5 423,2023,5423
PTPXO,Porto Santo,09,Outros produtos minerais não metálicos,,,693,2023,693
PTSCF,Santa Cruz das Flores,09,Outros produtos minerais não metálicos,-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,09,Outros produtos minerais não metálicos,-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,09,Outros produtos minerais não metálicos,-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,09,Outros produtos minerais não metálicos,,,841 980,2023,841980
PTSIN,Sines,09,Outros produtos minerais não metálicos,,,1 178 649,2023,1178649
PTVDC,Viana do Castelo,09,Outros produtos minerais não metálicos,-,Dado nulo ou não aplicável,-,2023,
PTVDP,Vila do Porto,09,Outros produtos minerais não metálicos,,,1 000,2023,1000
PTVEL,Velas,09,Outros produtos minerais não metálicos,,,607,2023,607
PTVNC,Vila Nova do Corvo,09,Outros produtos minerais não metálicos,,,26,2023,26
PTVRE,Vila Real de Santo António,09,Outros produtos minerais não metálicos,-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,09,Outros produtos minerais não metálicos,,,69 553,2023,69553
C,Continente,09,Outros produtos minerais não metálicos,,,3 759 696,2023,3759696
M,Região Autónoma da Madeira,09,Outros produtos minerais não metálicos,,,20 020,2023,20020
P,Portugal,09,Outros produtos minerais não metálicos,,,3 849 269,2023,3849269
PT88P,Instalações offshore de Portugal,09,Outros produtos minerais não metálicos,-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,09,Outros produtos minerais não metálicos,-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,09,Outros produtos minerais não metálicos,,,325 339,2023,325339
PTCAL,Calheta,09,Outros produtos minerais não metálicos,-,Dado nulo ou não aplicável,-,2023,
PTCDP,Cais do Pico,09,Outros produtos minerais não metálicos,,,1 811,2023,1811
PTCNL,Caniçal,09,Outros produtos minerais não metálicos,,,19 085,2023,19085
PTFAO,Faro,09,Outros produtos minerais não metálicos,,,78 047,2023,78047
PTFDF,Figueira da Foz,09,Outros produtos minerais não metálicos,,,98 181,2023,98181
PTFNC,Funchal,09,Outros produtos minerais não metálicos,,,242,2023,242
PTHOR,Horta,09,Outros produtos minerais não metálicos,,,3 561,2023,3561
PTLAJ,Lajes das Flores,09,Outros produtos minerais não metálicos,,,1 741,2023,1741
PTLDP,Lajes do Pico,09,Outros produtos minerais não metálicos,-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,09,Outros produtos minerais não metálicos,,,582 748,2023,582748
PTLIS,Lisboa,09,Outros produtos minerais não metálicos,,,654 752,2023,654752
PTMAD,Madalena,09,Outros produtos minerais não metálicos,-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,4 254,2023,4254
PTPRG,Praia da Graciosa,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",-,Dado nulo ou não aplicável,-,2023,
PTPRM,Portimão,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,1 039,2023,1039
PTPXO,Porto Santo,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,324,2023,324
PTSCF,Santa Cruz das Flores,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,373 351,2023,373351
PTSIN,Sines,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,1 161 020,2023,1161020
PTVDC,Viana do Castelo,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,3 477,2023,3477
PTVDP,Vila do Porto,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,48,2023,48
PTVEL,Velas,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,21,2023,21
PTVNC,Vila Nova do Corvo,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,243,2023,243
PTVRE,Vila Real de Santo António,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,7 788,2023,7788
C,Continente,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,2 608 424,2023,2608424
M,Região Autónoma da Madeira,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,1 380,2023,1380
P,Portugal,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,2 617 592,2023,2617592
PT88P,Instalações offshore de Portugal,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,60 470,2023,60470
PTCAL,Calheta,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",-,Dado nulo ou não aplicável,-,2023,
PTCDP,Cais do Pico,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,85,2023,85
PTCNL,Caniçal,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,961,2023,961
PTFAO,Faro,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",-,Dado nulo ou não aplicável,-,2023,
PTFDF,Figueira da Foz,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,306,2023,306
PTFNC,Funchal,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,95,2023,95
PTHOR,Horta,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,583,2023,583
PTLAJ,Lajes das Flores,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,1 515,2023,1515
PTLDP,Lajes do Pico,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,913 370,2023,913370
PTLIS,Lisboa,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",,,96 430,2023,96430
PTMAD,Madalena,10,"Metais de base; produtos metálicos transformados, excepto máquinas e equipamento",-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,3 787,2023,3787
PTPRG,Praia da Graciosa,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,151,2023,151
PTPRM,Portimão,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,748,2023,748
PTPXO,Porto Santo,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,78,2023,78
PTSCF,Santa Cruz das Flores,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,10 235,2023,10235
PTSIN,Sines,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,505 375,2023,505375
PTVDC,Viana do Castelo,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,13 115,2023,13115
PTVDP,Vila do Porto,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,734,2023,734
PTVEL,Velas,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,242,2023,242
PTVNC,Vila Nova do Corvo,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,53,2023,53
PTVRE,Vila Real de Santo António,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,8 028,2023,8028
C,Continente,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,794 999,2023,794999
M,Região Autónoma da Madeira,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,2 018,2023,2018
P,Portugal,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,805 045,2023,805045
PT88P,Instalações offshore de Portugal,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,55 885,2023,55885
PTCAL,Calheta,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",-,Dado nulo ou não aplicável,-,2023,
PTCDP,Cais do Pico,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,855,2023,855
PTCNL,Caniçal,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,1 917,2023,1917
PTFAO,Faro,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",-,Dado nulo ou não aplicável,-,2023,
PTFDF,Figueira da Foz,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",-,Dado nulo ou não aplicável,-,2023,
PTFNC,Funchal,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,23,2023,23
PTHOR,Horta,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,499,2023,499
PTLAJ,Lajes das Flores,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,959,2023,959
PTLDP,Lajes do Pico,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,160 281,2023,160281
PTLIS,Lisboa,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",,,50 108,2023,50108
PTMAD,Madalena,11,"Máquinas e equipamentos n.e.; máquinas de escritório e equipamento informático; máquinas e aparelhos elétricos n.e.; equipamento e aparelhos de radiotelevisão e telecomunicações; instrumentos de medicina, de precisão e de óptica; relógios",-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,12,Material de transporte,-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,12,Material de transporte,,,7 544,2023,7544
PTPRG,Praia da Graciosa,12,Material de transporte,,,186,2023,186
PTPRM,Portimão,12,Material de transporte,-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,12,Material de transporte,,,2 729,2023,2729
PTPXO,Porto Santo,12,Material de transporte,,,61,2023,61
PTSCF,Santa Cruz das Flores,12,Material de transporte,-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,12,Material de transporte,-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,12,Material de transporte,-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,12,Material de transporte,,,275 452,2023,275452
PTSIN,Sines,12,Material de transporte,,,168 880,2023,168880
PTVDC,Viana do Castelo,12,Material de transporte,,,200,2023,200
PTVDP,Vila do Porto,12,Material de transporte,,,523,2023,523
PTVEL,Velas,12,Material de transporte,,,305,2023,305
PTVNC,Vila Nova do Corvo,12,Material de transporte,,,187,2023,187
PTVRE,Vila Real de Santo António,12,Material de transporte,-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,12,Material de transporte,,,14 128,2023,14128
C,Continente,12,Material de transporte,,,560 726,2023,560726
M,Região Autónoma da Madeira,12,Material de transporte,,,5 606,2023,5606
P,Portugal,12,Material de transporte,,,580 460,2023,580460
PT88P,Instalações offshore de Portugal,12,Material de transporte,-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,12,Material de transporte,-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,12,Material de transporte,,,276,2023,276
PTCAL,Calheta,12,Material de transporte,,,49,2023,49
PTCDP,Cais do Pico,12,Material de transporte,,,915,2023,915
PTCNL,Caniçal,12,Material de transporte,,,5 545,2023,5545
PTFAO,Faro,12,Material de transporte,-,Dado nulo ou não aplicável,-,2023,
PTFDF,Figueira da Foz,12,Material de transporte,-,Dado nulo ou não aplicável,-,2023,
PTFNC,Funchal,12,Material de transporte,-,Dado nulo ou não aplicável,-,2023,
PTHOR,Horta,12,Material de transporte,,,999,2023,999
PTLAJ,Lajes das Flores,12,Material de transporte,,,691,2023,691
PTLDP,Lajes do Pico,12,Material de transporte,-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,12,Material de transporte,,,79 634,2023,79634
PTLIS,Lisboa,12,Material de transporte,,,36 284,2023,36284
PTMAD,Madalena,12,Material de transporte,-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,361,2023,361
PTPRG,Praia da Graciosa,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,8,2023,8
PTPRM,Portimão,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,136,2023,136
PTPXO,Porto Santo,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTSCF,Santa Cruz das Flores,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PT888,Outros portos de Portugal,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTSCG,Santa Cruz da Graciosa,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTSET,Setúbal,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,3 287,2023,3287
PTSIN,Sines,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,249 633,2023,249633
PTVDC,Viana do Castelo,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTVDP,Vila do Porto,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,20,2023,20
PTVEL,Velas,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTVNC,Vila Nova do Corvo,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTVRE,Vila Real de Santo António,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
A,Região Autónoma dos Açores,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,677,2023,677
C,Continente,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,356 864,2023,356864
M,Região Autónoma da Madeira,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,161,2023,161
P,Portugal,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,357 702,2023,357702
PT88P,Instalações offshore de Portugal,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTADH,Angra do Heroísmo,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTAVE,Aveiro,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,486,2023,486
PTCAL,Calheta,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTCDP,Cais do Pico,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,22,2023,22
PTCNL,Caniçal,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,161,2023,161
PTFAO,Faro,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTFDF,Figueira da Foz,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTFNC,Funchal,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTHOR,Horta,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,61,2023,61
PTLAJ,Lajes das Flores,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,69,2023,69
PTLDP,Lajes do Pico,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTLEI,Leixões,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,90 030,2023,90030
PTLIS,Lisboa,13,Móveis; outros produtos das indústrias transformadoras n.e.,,,13 428,2023,13428
PTMAD,Madalena,13,Móveis; outros produtos das indústrias transformadoras n.e.,-,Dado nulo ou não aplicável,-,2023,
PTOPO,Douro,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,-,Dado nulo ou não aplicável,-,2023,
PTPDL,Ponta Delgada,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,6 162,2023,6162
PTPRG,Praia da Graciosa,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,313,2023,313
PTPRM,Portimão,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,-,Dado nulo ou não aplicável,-,2023,
PTPRV,Praia da Vitória,14,Matérias-primas secundárias; resíduos municipais e outros resíduos,,,7 042,2023,7042
