geocod,geodsg,dim_3,dim_3_t,ind_string,valor,periodo,sinal_conv,sinal_conv_desc
16D,Região de Aveiro,7311,Agências de publicidade,-4 219,-4219,2022,,
16D,Região de Aveiro,73110,Agências de publicidade,-4 219,-4219,2022,,
16D,Região de Aveiro,4623,Comércio por grosso de animais vivos,-4 186,-4186,2022,,
16D,Região de Aveiro,46230,Comércio por grosso de animais vivos,-4 186,-4186,2022,,
16D,Região de Aveiro,731,Publicidade,-4 180,-4180,2022,,
11,Norte,8621,"Atividades de prática médica de clínica geral, em ambulatório",-4 170,-4170,2022,,
11,Norte,86210,"Atividades de prática médica de clínica geral, em ambulatório",-4 170,-4170,2022,,
16H,Beira Baixa,469,Comércio por grosso não especializado,-4 162,-4162,2022,,
16H,Beira Baixa,4690,Comércio por grosso não especializado,-4 162,-4162,2022,,
16H,Beira Baixa,46900,Comércio por grosso não especializado,-4 162,-4162,2022,,
17,Área Metropolitana de Lisboa,4753,"Comércio a retalho de carpetes, tapetes, cortinados e  revestimentos  para paredes e pavimentos, em estabelecimentos especializados",-4 148,-4148,2022,,
17,Área Metropolitana de Lisboa,47530,"Comércio a retalho de carpetes, tapetes, cortinados e  revestimentos  para paredes e pavimentos, em estabelecimentos especializados",-4 148,-4148,2022,,
170,Área Metropolitana de Lisboa,4753,"Comércio a retalho de carpetes, tapetes, cortinados e  revestimentos  para paredes e pavimentos, em estabelecimentos especializados",-4 148,-4148,2022,,
170,Área Metropolitana de Lisboa,47530,"Comércio a retalho de carpetes, tapetes, cortinados e  revestimentos  para paredes e pavimentos, em estabelecimentos especializados",-4 148,-4148,2022,,
111,Alto Minho,205,Fabricação de outros produtos químicos,-4 127,-4127,2022,,
16E,Região de Coimbra,85,Educação,-4 105,-4105,2022,,
16E,Região de Coimbra,P,Educação,-4 105,-4105,2022,,
18,Alentejo,56102,Restaurantes com lugares ao balcão,-4 101,-4101,2022,,
181,Alentejo Litoral,56102,Restaurantes com lugares ao balcão,-4 101,-4101,2022,,
3,Região Autónoma da Madeira,4719,"Comércio a retalho em estabelecimentos não especializados, sem predominância de produtos alimentares, bebidas ou tabaco",-4 100,-4100,2022,,
3,Região Autónoma da Madeira,47192,"Comércio a retalho em outros estabelecimentos não especializados, sem predominância de produtos alimentares, bebidas ou tabaco",-4 100,-4100,2022,,
30,Região Autónoma da Madeira,4719,"Comércio a retalho em estabelecimentos não especializados, sem predominância de produtos alimentares, bebidas ou tabaco",-4 100,-4100,2022,,
30,Região Autónoma da Madeira,47192,"Comércio a retalho em outros estabelecimentos não especializados, sem predominância de produtos alimentares, bebidas ou tabaco",-4 100,-4100,2022,,
300,Região Autónoma da Madeira,4719,"Comércio a retalho em estabelecimentos não especializados, sem predominância de produtos alimentares, bebidas ou tabaco",-4 100,-4100,2022,,
300,Região Autónoma da Madeira,47192,"Comércio a retalho em outros estabelecimentos não especializados, sem predominância de produtos alimentares, bebidas ou tabaco",-4 100,-4100,2022,,
15,Algarve,45,"Comércio, manutenção e reparação, de veículos automóveis e motociclos",-4 071,-4071,2022,,
150,Algarve,45,"Comércio, manutenção e reparação, de veículos automóveis e motociclos",-4 071,-4071,2022,,
11C,Tâmega e Sousa,56301,Cafés,-4 031,-4031,2022,,
2,Região Autónoma dos Açores,469,Comércio por grosso não especializado,-4 027,-4027,2022,,
2,Região Autónoma dos Açores,4690,Comércio por grosso não especializado,-4 027,-4027,2022,,
2,Região Autónoma dos Açores,46900,Comércio por grosso não especializado,-4 027,-4027,2022,,
20,Região Autónoma dos Açores,469,Comércio por grosso não especializado,-4 027,-4027,2022,,
20,Região Autónoma dos Açores,4690,Comércio por grosso não especializado,-4 027,-4027,2022,,
20,Região Autónoma dos Açores,46900,Comércio por grosso não especializado,-4 027,-4027,2022,,
200,Região Autónoma dos Açores,469,Comércio por grosso não especializado,-4 027,-4027,2022,,
200,Região Autónoma dos Açores,4690,Comércio por grosso não especializado,-4 027,-4027,2022,,
200,Região Autónoma dos Açores,46900,Comércio por grosso não especializado,-4 027,-4027,2022,,
185,Lezíria do Tejo,023,"Extração de cortiça, resina e apanha de outros produtos florestais, exceto madeira",-4 020,-4020,2022,,
185,Lezíria do Tejo,0230,"Extração de cortiça, resina e apanha de outros produtos florestais, exceto madeira",-4 020,-4020,2022,,
185,Lezíria do Tejo,02300,"Extração de cortiça, resina e apanha de outros produtos florestais, exceto madeira",-4 020,-4020,2022,,
18,Alentejo,0149,Outra produção animal,-4 012,-4012,2022,,
16E,Região de Coimbra,4312,Preparação dos locais de construção,-4 000,-4000,2022,,
16E,Região de Coimbra,43120,Preparação dos locais de construção,-4 000,-4000,2022,,
16I,Médio Tejo,93294,"Outras atividades de diversão e recreativas, n.e.",-4 000,-4000,2022,,
16J,Beiras e Serra da Estrela,2572,"Fabricação de fechaduras, dobradiças e de outras ferragens",-4 000,-4000,2022,,
16J,Beiras e Serra da Estrela,25720,"Fabricação de fechaduras, dobradiças e de outras ferragens",-4 000,-4000,2022,,
11A,Área Metropolitana do Porto,4779,"Comércio a retalho de artigos em segunda mão, em estabelecimentos especializados",-3 981,-3981,2022,,
11A,Área Metropolitana do Porto,47790,"Comércio a retalho de artigos em segunda mão, em estabelecimentos especializados",-3 981,-3981,2022,,
186,Alto Alentejo,46731,Comércio por grosso de madeira em bruto e de produtos derivados,-3 965,-3965,2022,,
16G,Viseu Dão Lafões,43222,Instalação de climatização,-3 905,-3905,2022,,
2,Região Autónoma dos Açores,56107,"Restaurantes, n.e. (inclui atividades de restauração em meios móveis)",-3 872,-3872,2022,,
20,Região Autónoma dos Açores,56107,"Restaurantes, n.e. (inclui atividades de restauração em meios móveis)",-3 872,-3872,2022,,
200,Região Autónoma dos Açores,56107,"Restaurantes, n.e. (inclui atividades de restauração em meios móveis)",-3 872,-3872,2022,,
