tempo;regiao;instituicao;localizacao_geografica;gastos_com_te_e_suplementos;gastos_com_pessoal;gastos_com_te_e_suplementos_no_total_gastos_com_pessoal
2018-07;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919, -8.7707806;213;2894;7.4
2018-07;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;5835;34027;17.1
2018-07;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;4059;25643;15.8
2018-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;2265;16870;13.4
2018-08;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;4949;36555;13.5
2018-08;Região de Saúde Norte;Centro Hospitalar do Porto, EPE;41.1472498, -8.6172617;11339;96134;11.8
2018-08;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;6089;48678;12.5
2018-08;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;3656;55340;6.6
2018-08;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;752;9134;8.2
2018-08;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;6715;37824;17.8
2018-09;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919, -8.7707806;310;3628;8.6
2018-09;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;1517;13530;11.2
2018-09;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;8901;80245;11.1
2018-09;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;2875;23584;12.2
2018-09;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;4103;62403;6.6
2018-09;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;843;10235;8.2
2018-09;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;5973;56962;10.5
2018-09;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;7655;43267;17.7
2018-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;5527;40738;13.6
2018-10;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;5284;35879;14.7
2018-10;Região de Saúde Norte;Centro Hospitalar de São João, EPE;41.1831056, -8.6010558;18393;144845;12.7
2018-10;Região de Saúde Norte;Centro Hospitalar do Porto, EPE;41.1472498, -8.6172617;14322;121012;11.8
2018-10;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;4672;69738;6.7
2018-10;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;6767;63900;10.6
2018-10;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;8557;48755;17.6
2018-11;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve,EPE;37.0238973, -7.9281554;12580;109421;11.5
2018-11;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015, -8.5933462;69;2271;3.0
2018-11;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;6688;44990;14.9
2018-11;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649, -8.6649823;437;10115;4.3
2018-11;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;7612;70767;10.8
2018-12;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;7781;57450;13.5
2018-12;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;10518;76361;13.8
2018-12;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;3439;29982;11.5
2018-12;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;7011;53760;13.0
2018-12;Região de Saúde LVT;Hospital de Loures, PPP;38.821455, -9.176296;2592;47516;5.5
2018-12;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;7219;49052;14.7
2018-12;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;12352;84584;14.6
2018-12;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;7102;57881;12.3
2019-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;1124;4772;23.6
2019-01;Região de Saúde do Centro;Centro Hospitalar Cova da Beira, EPE;40.2804158, -7.4922407;572;3284;17.4
2019-01;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;1019;6068;16.8
2019-01;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;840;6498;12.9
2019-01;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015, -8.5933462;7;247;3.1
2019-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;604;4883;12.4
2019-01;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235, -8.984506;172;3195;5.4
2019-01;Região de Saúde Norte;Centro Hospitalar do Porto, EPE;41.1472498, -8.6172617;1282;12071;10.6
2019-01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;894;5741;15.6
2019-01;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;602;4657;12.9
2019-01;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;0;163;0.0
2019-01;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;650;5443;12.0
2019-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;990;7553;13.1
2019-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;1274;8984;14.2
2019-02;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;1408;10504;13.4
2019-02;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967, -8.6318023;67;786;8.6
2019-02;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;2441;13621;17.9
2019-02;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;1184;9554;12.4
2019-02;Região de Saúde LVT;Centro Hospitalar de Lisboa Central, EPE;38.7166948, -9.1371248;5283;42040;12.6
2019-02;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;1427;10992;13.0
2019-02;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;1563;8718;17.9
2019-02;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;1531;13408;11.4
2019-02;Região de Saúde LVT;Instituto Gama Pinto;38.7218793, -9.144249;82;595;13.9
2019-02;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;862;6060;14.2
2019-02;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711, -8.7589945;624;3822;16.3
2019-02;Região de Saúde Norte;Hospital de Braga, PPP;41.56785, -8.398982;997;14298;7.0
